	Domain	Phylum	Class	Order	Family	Genus	Species
OTU2002	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Cladosporiaceae	g:Rachicladosporium	s:Rachicladosporium_inconspicuum_SH017773.07FU
OTU2003	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Thelebolales	f:Thelebolaceae	g:Thelebolus	s:Thelebolus_globosus_SH215928.07FU
OTU2004	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Alternaria	s:Alternaria_tellustris_SH216786.07FU
OTU2005	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	s:Chaetomium_homopilatum_SH629325.07FU
OTU2007	d:Fungi	p:Ascomycota	c:Orbiliomycetes	o:Orbiliales	f:Orbiliaceae	g:Arthrobotrys	s:Arthrobotrys_eudermata_SH196415.07FU
OTU2008	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Sporormiaceae	g:Toninia	s:Toninia_physaroides_SH526329.07FU
OTU2009	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Boletales	f:Boletaceae	g:Genabea	s:Genabea_fragilis_SH195287.07FU
OTU2010	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Xylariales	f:Xylariales_fam_Incertae_sedis	g:Hansfordia	s:Ascotricha_chartarum_SH211359.07FU
OTU2011	d:Fungi	p:Ascomycota	c:Agaricomycetes	o:Pleosporales	f:Didymellaceae	g:Leptosphaerulina	s:Pseudochaetosphaeronema_larense_SH177523.07FU
OTU2012	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Entolomataceae	g:Entoloma	s:Entoloma_sordidulum_SH004545.07FU
OTU2013	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Hymenochaetaceae	g:Scleroderma	s:Thelephora_palmata_SH178636.07FU
OTU2014	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Lepiota	s:Lepiota_lilacea_SH191233.07FU
OTU2015	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Psathyrellaceae	g:Psathyrella	s:Psathyrella_romellii_SH494477.07FU
OTU2016	d:Fungi	p:Chytridiomycota	c:Chytridiomycetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU2018	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Curvularia	s:Curvularia_alcornii_SH093147.07FU
OTU2019	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Boletales	f:Boletaceae	g:Gyroporus	s:Gyroporus_cyanescens_SH200960.07FU
OTU2020	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Cordycipitaceae	g:Olpitrichum	s:Olpitrichum_sphaerosporum_SH495633.07FU
OTU2021	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Thelephorales	f:Thelephoraceae	g:Russula	s:Pandora_kondoiensis_SH209650.07FU
OTU2022	d:Fungi	p:Ascomycota	c:Agaricomycetes	o:Pezizales	f:Pezizaceae	g:Peziza	s:Phellinus_rimosus_SH482011.07FU
OTU2023	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Leptosphaeriaceae	g:Heterospora	s:Heterospora_dimorphospora_SH208016.07FU
OTU2024	d:Fungi	p:Ascomycota	c:Orbiliomycetes	o:Orbiliales	f:Orbiliaceae	g:Dactylaria	s:Toninia_physaroides_SH526329.07FU
