"fungi.Grass.BOGR.1" "fungi.Ecotone.LATR.8" "fungi.Ecotone.PLJA.8" "fungi.Ecotone.PLJA.1" "fungi.Grass.BOER.4" "fungi.Grass.BOER.7" "fungi.Grass.PLJA.6" "fungi.Ecotone.LATR.5" "fungi.Shrub.LATR.8" "fungi.Grass.BOGR.7" "fungi.Ecotone.BOER.7" "fungi.Ecotone.PLJA.5" "fungi.Ecotone.BOER.4" "fungi.Ecotone.LATR.4" "fungi.Grass.PLJA.1" "fungi.Grass.PLJA.5" "fungi.Grass.BOGR.4" "fungi.Ecotone.PLJA.3" "fungi.Grass.BOGR.5" "fungi.Shrub.LATR.3" "fungi.Ecotone.BOER.8" "fungi.Ecotone.LATR.6" "fungi.Ecotone.BOER.3" "fungi.Grass.BOER.6" "fungi.Grass.PLJA.2" "fungi.Shrub.LATR.7" "fungi.Shrub.LATR.5" "fungi.Grass.BOER.5" "fungi.Ecotone.LATR.2" "fungi.Shrub.LATR.6" "fungi.Ecotone.LATR.3" "fungi.Ecotone.LATR.7" "fungi.Ecotone.PLJA.7" "fungi.Ecotone.BOER.2" "fungi.Grass.BOGR.3" "fungi.Shrub.LATR.2" "fungi.Shrub.LATR.4" "fungi.Ecotone.BOER.1" "fungi.Ecotone.BOER.5" "fungi.Grass.PLJA.7" "fungi.Grass.BOER.2" "fungi.Grass.BOGR.8" "fungi.Grass.BOGR.6" "fungi.Ecotone.BOER.6" "fungi.Grass.PLJA.8" "fungi.Grass.BOGR.2" "fungi.Grass.BOER.8" "fungi.Grass.PLJA.3" "fungi.Shrub.LATR.1" "fungi.Grass.BOER.3" "fungi.Ecotone.LATR.1" "fungi.Ecotone.PLJA.6" "fungi.Ecotone.PLJA.2" "fungi.Grass.BOER.1" "fungi.Ecotone.PLJA.4" "fungi.Grass.PLJA.4"
"OTU4" 2.68843021495723 0.16108178707609 1.88878461770971 0.16108178707609 0.16108178707609 0.16108178707609 0.834007628048721 1.78432015691265 0.16108178707609 0.16108178707609 1.48281544770703 1.17881541552714 1.47957417726811 4.01999326365462 0.16108178707609 2.63217268579573 1.3510787721632 2.76251865995847 3.61359259687451 2.44277288984513 1.72994956503979 3.40480816481492 1.04601498825387 1.84807653116277 8.50691075682012 0.16108178707609 3.32701636445507 3.44672943435858 2.9789111406795 4.96690539638953 2.14203762838503 0.16108178707609 1.78646476275601 8.10566913996713 2.13711923153624 0.16108178707609 3.35286093908636 1.24090119445328 0.16108178707609 1.8171306572114 0.16108178707609 4.02734306445025 2.75366339852404 0.16108178707609 1.44625813421396 0.16108178707609 2.25302042315553 2.48069813240623 0.16108178707609 0.16108178707609 5.06832978371357 0.16108178707609 1.49543268865931 0.16108178707609 4.27549434582494 1.18213840961505
"OTU4445" 0.16108178707609 5.67467733235515 3.8459461648653 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 8.87104264648959 0.16108178707609 1.97667390705533 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 3.64749294337903 0.16108178707609 3.54900302301783 0.16108178707609 5.01132590514537 5.28713672878717 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 4.27085081868573 0.16108178707609 1.10898766216713 12.0214893132851 0.16108178707609 0.16108178707609 0.16108178707609 1.48221671881617 0.16108178707609 0.16108178707609 0.16108178707609 2.07930888673558 0.16108178707609 0.16108178707609 2.16356969198507 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 1.09273729678836 1.49543268865931 0.16108178707609 0.16108178707609 0.16108178707609
"OTU20" 6.33917010621149 0.16108178707609 5.54403929524179 5.41773962093073 3.58219481628727 9.90051000965307 3.28930537495289 6.27202968216935 15.7286236985554 0.16108178707609 9.26167941265243 6.98209856076599 7.08555283580397 0.16108178707609 0.16108178707609 6.9959045655121 5.39752981202358 7.8356440027651 5.12998828123837 7.73699604959914 6.00167389048219 0.16108178707609 0.16108178707609 7.67796962882736 16.4317211670952 0.16108178707609 5.91086857605762 5.94297033973153 5.10630182406253 0.16108178707609 8.15917062247798 5.13066371890108 6.40428070410997 6.38903776835601 0.16108178707609 7.27726192886662 0.16108178707609 4.77518704352592 4.28204286104044 3.56528749572045 8.8190359256304 9.17668068650152 7.23043915011715 8.90332278516948 0.16108178707609 8.26502576961959 5.06924166082851 7.96075594464105 4.09142019380051 3.85883232266175 0.16108178707609 5.14650795245103 3.63265419771347 0.16108178707609 9.8502790675591 5.57711533786162
"OTU523" 3.93404959061316 0.16108178707609 8.15402147014986 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 1.52239620035585 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 3.05074928964108 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609
"OTU38" 6.89414327117646 6.04538248890055 7.68082312768186 6.42376916034124 0.16108178707609 10.0057776438857 1.56095704965146 7.47894426294522 15.0142589977412 7.61951863919758 6.77009906763838 7.5443648718283 4.94490239285755 3.25353583842614 0.16108178707609 9.00852094756418 5.00762139194032 2.3844767950446 4.67466517579685 10.9981431467062 7.75371972102096 0.16108178707609 0.16108178707609 6.23999934473096 20.1280467574571 0.16108178707609 0.16108178707609 0.16108178707609 4.36265857746772 12.7434853623859 0.16108178707609 7.51481433167813 7.31142652750072 0.16108178707609 7.44005962485926 0.16108178707609 0.16108178707609 5.99358549589217 5.09481149021814 5.16682033239303 8.10427337243234 0.16108178707609 9.16926910014316 7.75514423817725 5.07447228204393 0.16108178707609 8.97177493583547 6.94813822338065 7.26171545175955 5.87667132973785 7.61722929170996 4.93415392152862 1.09989357679834 1.59842131411212 8.2648854834536 7.51568089390219
"OTU253" 6.16157503221777 3.54179690503866 3.46662633351074 7.02342272328821 4.0738008871582 5.35486787765987 0.834007628048721 6.32630159334062 0.16108178707609 0.16108178707609 5.71638609707633 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 5.03724039708481 5.5798474490208 7.3606448426028 6.24220630887239 0.16108178707609 4.38472397025161 5.92961738061258 5.69733815715914 5.1931069899233 10.2766408319212 4.36467687463437 5.76724094642916 6.49556747543454 7.4051307338782 0.16108178707609 0.16108178707609 7.09781910616992 0.16108178707609 10.9182589895303 7.02967645021184 7.23916075135692 8.72564760990027 0.16108178707609 4.8060119899049 2.38418504444146 5.87192922981606 7.84278602472333 6.0931104528582 6.92617903535892 4.2638483858306 0.16108178707609 4.32261389865679 5.43252969318572 6.68910297714148 6.12138292725279 13.1035327427715 6.24842111877819 5.19355194835257 0.16108178707609 8.76075177831451 0.16108178707609
"OTU8" 1.56122066370732 1.36518084124951 0.932657665077185 0.16108178707609 6.71613862531972 12.3782005941138 0.16108178707609 1.78432015691265 9.75466223930137 3.63379276927012 2.31411164805997 1.59583304687325 8.9732972520537 4.49460979149077 0.16108178707609 2.02556406572671 9.8683870243373 0.16108178707609 1.33666700423947 0.16108178707609 9.02753924217576 0.16108178707609 1.04601498825387 1.37933348272687 0.16108178707609 2.02487729653949 3.77156207312286 4.88494871318672 0.16108178707609 4.96690539638953 2.14203762838503 0.16108178707609 1.10898766216713 9.60018827955738 0.16108178707609 3.88776198866221 0.16108178707609 8.25591159420525 1.59269625036041 7.19599586866927 1.54579126620343 2.07930888673558 4.15097866494164 11.0790037160159 9.48694298100339 0.16108178707609 11.4861016288028 8.93498952911996 1.60330992922539 1.42716451124316 11.6100589067391 0.16108178707609 1.99227685760982 1.59842131411212 3.48956764694867 7.13153649201049
"OTU2047" 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 3.42224850124228 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609
"OTU29" 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 2.66274453048506 0.59674856118982 0.16108178707609 0.16108178707609 0.16108178707609 3.12639746593258 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 1.52239620035585 2.13142698706105 0.16108178707609 0.16108178707609 5.17240427075025 0.16108178707609 0.16108178707609 1.04601498825387 0.16108178707609 0.16108178707609 0.16108178707609 2.62813102621103 0.16108178707609 0.16108178707609 6.65746960377958 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 1.81786004870964 0.16108178707609 7.89607295417859 0.16108178707609 1.59269625036041 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 1.20964754553458 4.64780840500016 0.16108178707609 0.16108178707609 0.16108178707609 0.16108178707609 10.1732194940158 1.09273729678836 0.16108178707609 1.59842131411212 3.48956764694867 0.857479054004805
"OTU526" 7.25934986243002 5.61718073722145 6.45361218562894 1.34211049641885 1.07713484199288 11.1853118150384 6.41574270210211 0.16108178707609 0.16108178707609 5.85793147783163 9.99488537121394 0.16108178707609 3.90207029148036 0.16108178707609 0.16108178707609 6.05970979765402 0.16108178707609 2.3844767950446 0.16108178707609 2.44277288984513 7.03917599837422 5.39879169614285 5.59754480550887 0.16108178707609 19.3079396672968 2.02487729653949 7.89393361347993 1.21144060625896 7.64414913331007 0.16108178707609 9.77788984044922 6.96789704959765 10.3485289138518 0.16108178707609 0.16108178707609 0.16108178707609 4.12786955354136 1.67435598466428 7.17058628419077 5.66888437986682 6.08053080758275 5.64626780198956 9.29241867598199 11.2155894077805 2.16356969198507 0.16108178707609 6.37843932740101 5.55456068737 4.56842645579533 5.53085766146748 0.16108178707609 1.48629429326733 4.71701372128793 8.31545241107785 5.37794890452988 0.857479054004805
