"","Row.names","NMDS1","NMDS2","Domain","Phylum","Class","Order","Family","Genus","Species"
"784","OTU214",-0.0883181700784886,0.0611416810981395,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Stephanosporaceae","Lindtneria","unk"
"785","OTU2140",0.169374257090586,-0.312545077137322,"Fungi","Zygomycota","dummy_class_Mucorales","Mucorales","Rhizopodaceae","Rhizopus","Rhizopus_arrhizus"
"786","OTU2141",0.169155561625539,-0.0936703571231079,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"787","OTU2142",0.0641826110518054,0.222967554450822,"Fungi","Basidiomycota","Agaricomycetes","unk","unk","unk","unk"
"788","OTU2143",-0.0717779946704201,0.00517702821689016,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Tulostoma","unk"
"789","OTU2145",-0.0195452573117065,0.00801251068823854,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Leptosphaeria","unk"
"790","OTU2148",-0.191070790816292,8.42879937957248e-05,"Fungi","Basidiomycota","Agaricomycetes","unk","unk","unk","unk"
"791","OTU215",0.194350692214718,-0.336667668754537,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Montagnulaceae","Montagnula","unk"
"792","OTU2151",-0.111671075566191,-0.0188704662396251,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","unk"
"793","OTU2152",0.730275342096094,-0.541054534562715,"Fungi","Ascomycota","Dothideomycetes","unk","unk","unk","unk"
"794","OTU2156",-0.008341139055563,-0.107071225469261,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Tulostoma","unk"
"795","OTU2158",0.225920139104126,-0.159434715531392,"Fungi","Basidiomycota","unk","unk","unk","unk","unk"
"796","OTU2159",-0.148812410831385,-0.0493991425005371,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","unk"
"797","OTU216",0.580748318448101,0.393313893972956,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Gastrosporiaceae","Gastrosporium","unk"
"798","OTU2160",0.218011616251955,-0.155966680745327,"Fungi","Glomeromycota","unk","unk","unk","unk","unk"
"799","OTU2161",0.559210596955746,0.0395054946439055,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","unk"
"800","OTU2162",0.245281036325333,-0.176052300184252,"Fungi","Chytridiomycota","unk","unk","unk","unk","unk"
"801","OTU2163",-0.235111631202517,0.0256473276813126,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"802","OTU2165",-0.0681510542211526,-0.16712759800544,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae","Neurospora","Neurospora_intermedia"
