"","OTU","fungi.Grass.BOGR.1","fungi.Ecotone.LATR.8","fungi.Ecotone.PLJA.8","fungi.Ecotone.PLJA.1","fungi.Grass.BOER.4","fungi.Grass.BOER.7","fungi.Ecotone.LATR.5","fungi.Grass.PLJA.6","fungi.Shrub.LATR.8","fungi.Grass.BOGR.7","fungi.Ecotone.BOER.4","fungi.Ecotone.BOER.7","fungi.Ecotone.PLJA.5","fungi.Ecotone.LATR.4","fungi.Grass.PLJA.5","fungi.Grass.PLJA.1","fungi.Grass.BOGR.4","fungi.Ecotone.PLJA.3","fungi.Shrub.LATR.3","fungi.Grass.BOGR.5","fungi.Ecotone.BOER.3","fungi.Ecotone.BOER.8","fungi.Ecotone.LATR.6","fungi.Grass.BOER.6","fungi.Grass.PLJA.2","fungi.Shrub.LATR.7","fungi.Shrub.LATR.5","fungi.Grass.BOER.5","fungi.Ecotone.LATR.2","fungi.Ecotone.LATR.3","fungi.Shrub.LATR.6","fungi.Ecotone.BOER.2","fungi.Ecotone.LATR.7","fungi.Ecotone.PLJA.7","fungi.Grass.BOGR.3","fungi.Shrub.LATR.2","fungi.Shrub.LATR.4","fungi.Ecotone.BOER.1","fungi.Ecotone.BOER.5","fungi.Grass.PLJA.7","fungi.Grass.BOER.2","fungi.Grass.BOGR.8","fungi.Grass.BOGR.6","fungi.Ecotone.BOER.6","fungi.Grass.PLJA.8","fungi.Grass.BOGR.2","fungi.Grass.BOER.8","fungi.Grass.PLJA.3","fungi.Shrub.LATR.1","fungi.Grass.BOER.3","fungi.Ecotone.LATR.1","fungi.Ecotone.PLJA.6","fungi.Ecotone.PLJA.2","fungi.Grass.BOER.1","fungi.Ecotone.PLJA.4","fungi.Grass.PLJA.4"
"11","OTU23",0,2.338608351,0,0,2.516787072,3.574236969,2.325986005,2.900189257,0,0,2.78252357,0,0,2.330774884,0,0,4.266248327,2.311343213,2.398681599,0,0,15.4875788,0,0,0,0,2.443189063,3.156678067,3.211424472,0,2.647014025,0,12.40657017,0,2.577953089,2.913509397,2.832242309,0,0,0,2.821243559,2.646548042,0,2.7839874,0,3.132756044,0,0,0,0,0,2.350999116,0,0,0,2.657177521
"12","OTU526",7.703211513,6.736286778,7.298850725,2.281955134,2.994576949,11.93967652,0,9.018756368,0,5.858809493,4.656993579,12.55354972,0,0,5.564329543,0,0,2.770031289,0,0,6.866375676,8.462040451,4.150100587,0,9.518983384,2.645475258,6.378626847,3.156678067,7.018332255,10.88276552,0,0,5.226944025,14.97597004,0,0,0,2.538374853,10.49822927,6.201924194,6.920187342,5.399244237,10.06954014,12.1703034,4.146405759,0,6.977219188,3.988395682,5.219685027,6.541850773,0,2.350999116,6.026834102,10.56467714,0,0
"13","OTU1",5.200450242,2.338608351,2.787017932,2.281955134,2.516787072,0,2.325986005,5.242097685,2.591670418,7.720528509,5.481935535,7.981614662,8.410247679,7.062775804,8.956647479,0,2.744774742,3.272447974,16.44565446,9.751649357,2.939503314,0,3.399821419,3.394103761,9.068063146,2.645475258,3.210348311,3.695639154,3.755292797,4.387846694,2.198435809,6.800196474,10.55183027,3.072083444,5.258590081,4.413839519,2.832242309,3.018232371,0,6.691907815,7.650183834,6.963537623,5.506236565,3.604258274,13.97765121,9.258388196,2.570373376,5.886423972,9.102383402,6.395557151,2.889604284,6.249646333,4.565570375,18.02596527,23.55122097,14.85052153
"14","OTU935",0,0,0,6.360309061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","OTU50",2.565004248,0,2.075283473,0,0,0,18.81970714,0,0,0,1.900203627,0,2.340262344,0,2.483816605,0,0,0,2.398681599,0,0,2.698359713,0,0,4.230494351,0,0,0,0,3.349884403,0,0,0,0,0,2.44272663,0,2.538374853,4.901326523,0,0,0,0,0,0,3.132756044,0,0,0,0,0,0,0,0,0,0
"16","OTU218",6.334070121,0,0,0,6.654247616,7.755033763,0,0,0,0,5.80894862,6.575928422,7.865846498,0,4.934996079,0,5.46772827,6.857048736,0,7.573303943,9.134233494,0,0,7.147364369,8.400904749,0,0,0,0,0,0,0,0,2.323402035,7.769322031,2.44272663,0,0,2.700747738,8.151150033,7.038584653,9.146802096,5.338930826,0,0,7.697007145,3.582826654,2.629634975,0,6.74696721,2.889604284,0,0,3.587341704,7.824492951,8.241729498
"17","OTU117",0,7.474423906,0,9.017358812,7.707754019,5.26173647,6.886761737,9.996217238,4.972626932,0,0,7.801547581,0,6.58254189,0,0,0,7.589871247,0,0,7.343502537,8.494102133,7.477771806,7.48900528,7.767378155,5.886977632,0,6.744150494,0,0,2.647014025,0,5.170541912,8.952714303,5.530670847,0,9.129759502,2.538374853,0,7.082808391,0,0,0,12.94976147,0,0,0,0,4.070907125,0,10.02188765,7.023481599,8.913645187,0,5.982026318,0
"18","OTU69",0,0,5.352663181,6.062723889,0,2.757984061,0,2.900189257,12.57342456,0,0,0,2.340262344,4.775114887,0,0,2.744774742,0,10.02598604,0,0,5.017563073,0,0,0,8.751558227,7.737763823,0,0,2.840588477,7.689654382,0,8.664126162,6.070578738,0,6.839290963,7.859346779,6.040517754,0,0,0,0,2.582079002,0,2.755846235,3.132756044,2.570373376,0,0,0,0,4.353248501,5.923337432,0,0,0
"19","OTU90",0,0,0,0,2.516787072,0,0,0,0,0,0,2.508322536,0,0,0,0,0,0,2.398681599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.832242309,0,0,0,0,0,0,0,0,0,0,0,0,0,2.889604284,0,0,0,0,0
"20","OTU13",2.565004248,0,0,17.2104814,0,2.757984061,25.08911441,2.900189257,0,0,0,0,0,0,2.048389678,0,0,0,0,0,2.466488087,0,0,0,2.360094401,0,2.914015136,0,0,0,0,0,0,2.78318406,2.577953089,2.44272663,2.832242309,0,0,0,0,0,0,2.7839874,2.755846235,0,0,0,2.695481347,0,12.04228695,2.350999116,2.553508656,0,0,0
"21","OTU264",3.75656216,0,0,0,2.516787072,4.770001667,0,0,0,12.69978478,0,0,0,0,0,0,8.513260704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.323402035,0,0,0,0,0,11.59060178,2.3582801,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39077057,8.739783959
"22","OTU354",0,0,0,0,0,6.552393228,0,0,4.381527535,0,8.838059243,0,0,0,0,0,0,0,0,0,0,0,0,6.865502276,0,0,0,2.664578781,0,0,0,0,0,6.212018713,0,0,5.511624314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","OTU44",5.348451427,5.77661053,3.908553019,0,0,0,0,0,0,6.222704813,4.375130522,4.270778978,7.699544249,6.84818295,5.339302331,0,6.286655992,0,5.129966934,6.063218461,5.800690747,4.898008,0,0,4.539640662,0,4.601645096,0,7.158139793,0,0,0,5.111191867,0,2.577953089,4.939238412,6.703099772,0,0,4.270764432,6.427665426,0,0,0,0,0,7.377415921,0,5.068706205,4.555954194,0,4.142839232,0,0,0,0
"24","OTU159",0,5.610422795,5.698073326,6.881272232,0,0,7.243642122,0,0,0,0,4.270778978,6.500973692,4.690730469,0,0,0,8.68127261,3.551791156,5.485059883,5.574589915,6.762567008,6.911431779,0,0,5.572196029,5.261460025,0,5.891185014,0,0,7.605168539,3.312713893,0,0,0,5.717614604,5.611415693,0,0,0,0,0,5.395286125,0,6.801295128,0,0,6.816253688,0,0,0,8.563225586,0,5.211579849,0
"25","OTU1426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.531954265,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","OTU52",4.581300057,0,0,0,0,5.604892007,0,0,0,0,0,0,5.29928635,0,2.048389678,2.972421889,3.244720692,0,2.398681599,0,0,5.31451259,0,0,0,0,0,0,0,0,0,0,3.865493027,0,0,0,0,0,0,0,2.3582801,0,0,0,0,3.132756044,0,0,0,3.300900627,2.889604284,0,0,0,0,0
"27","OTU185",0,0,4.640283548,0,6.387031726,5.811065675,0,3.642771142,4.617777438,3.500497793,0,3.508467507,0,2.330774884,8.624803211,0,5.584870887,0,4.480968448,0,2.466488087,4.832902148,0,7.514906909,5.304372414,6.493273061,0,0,3.755292797,0,0,2.502174432,4.463710426,3.83741353,6.10751459,2.44272663,2.832242309,0,3.738910829,3.433738662,7.757833045,0,8.405802087,0,4.398163153,3.132756044,6.170352154,5.86138375,0,6.521796149,2.889604284,2.350999116,0,0,0,5.771987736
"28","OTU63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.88615367,0,0,0,0,0,0,5.017563073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.778673372,2.570373376,0,0,19.61901685,0,0,0,0,0,0
"29","OTU204",0,0,0,3.969008336,11.81222771,0,0,0,0,0,1.900203627,0,0,7.018987673,2.048389678,12.48252317,0,7.557895804,0,0,0,0,0,0,0,2.645475258,0,0,7.38776274,0,0,0,0,0,2.577953089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.795951699,0,0,0,0,0,2.657177521
"30","OTU48",0,0,0,0,7.573114732,0,0,0,2.591670418,0,1.900203627,0,0,2.791227248,0,0,19.04375933,0,0,0,2.939503314,0,0,7.040025827,0,0,0,0,0,0,0,0,2.806714943,2.323402035,8.12554854,0,0,0,0,2.91706069,0,6.009946359,3.77756421,0,0,0,0,14.43207381,0,0,0,0,0,0,2.39077057,5.82721964
"31","OTU4143",0,2.338608351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44272663,0,2.538374853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
