"","Row.names","OTU","average","av_Ecotone","av_Grassland","pval","Domain","Phylum","Class","Order","Family","Genus","Species","ungi","taxonomy","Taxon","Taxon.Level","Trophic.Mode","Guild","Growth.Morphology","Trait","Confidence.Ranking","Notes","Citation.Source"
"57","OTU385","OTU385",0.00111849923515626,3.90930551667201,0.520349685939256,0.0116,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unk;s__unk","Herpotrichiellaceae","9","Pathotroph-Saprotroph","Animal Pathogen-Fungal Parasite-Undefined Saprotroph","Facultative Yeast-Microfungus","NULL","Probable","Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
"58","OTU3850","OTU3850",0.000154040643483581,0.601352333567522,0.16108178707609,0.0134,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Montagnulaceae","Paraconiothyrium","unk","Fungi","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae;g__Paraconiothyrium;s__unk","Paraconiothyrium","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"59","OTU3881","OTU3881",0.00083880272316247,3.06306250841791,0.16108178707609,0.0117,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","unk","Fungi","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Claroideoglomeraceae;g__Claroideoglomus;s__unk","Claroideoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"60","OTU3894","OTU3894",0.000434435105653534,1.67547621628966,0.16108178707609,0.0341,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea","Darksidea_alpha","Fungi","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Darksidea;s__Darksidea_alpha","-","-","-","-","-","-","-","Unassigned","-"
"61","OTU392","OTU392",0.000947995834909819,3.26719191357755,0.30259225991228,0.014,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris","unk","Fungi","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Bipolaris;s__unk","Bipolaris","13","Pathotroph","Plant Pathogen","Microfungus","NULL","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"62","OTU3983","OTU3983",0.000346075760068811,1.34513740395573,0.292376639473949,0.0086,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella","unk","Fungi","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Didymella;s__unk","Didymella","13","Pathotroph-Saprotroph","Animal Pathogen-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"63","OTU403","OTU403",0.00171476827347895,6.41763244903257,0.758427588585775,6e-04,"Fungi","Glomeromycota","Glomeromycetes","unk","unk","unk","unk","Fungi","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__unk;f__unk;g__unk;s__unk","Glomeromycota","3","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
"64","OTU4049","OTU4049",0.000301983631685828,1.20235177980428,0.16108178707609,0.0216,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Ascochyta","unk","Fungi","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Ascochyta;s__unk","Ascochyta","13","Pathotroph","Plant Pathogen","Microfungus","NULL","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"65","OTU4088","OTU4088",0.00140672369455347,4.96734637349326,0.16108178707609,0.0024,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__unk;s__unk","Leptosphaeriaceae","9","Pathotroph-Saprotroph","Plant Pathogen-Wood Saprotroph","Microfungus","NULL","Probable","Saprobic or weakly necrotrophic on stems or leaves (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
"66","OTU4110","OTU4110",0.000487370324778398,1.97636895852599,0.16108178707609,0.035,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Peziza","unk","Fungi","k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Peziza;s__unk","Pezizaceae","9","Saprotroph-Symbiotroph","Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph","Pezizoid","NULL","Possible","Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
"67","OTU412","OTU412",0.0014238597910396,5.84934823056443,1.56234385263962,0.0085,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","unk","Fungi","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Claroideoglomeraceae;g__Claroideoglomus;s__unk","Claroideoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"68","OTU4165","OTU4165",0.000546778975204706,2.15425114285405,0.16108178707609,0.0102,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidium","unk","Fungi","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Ceratobasidium;s__unk","Ceratobasidiaceae","9","Pathotroph-Saprotroph-Symbiotroph","Endomycorrhizal-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Possible","Best known as plant pathogens, but also saprobic. Species are endomycorrhizal with a wide range of plant roots - especially of Orchidaceae but also even bryophytes (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
"69","OTU422","OTU422",0.000809335156424925,2.67360716329183,0.759035302863448,0.0355,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","unk","Fungi","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Phoma;s__unk","Didymellaceae","9","Pathotroph-Saprotroph","Animal Pathogen-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Possible","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"70","OTU4220","OTU4220",0.00106175286141956,3.9441737246086,0.16108178707609,0.0137,"Fungi","Ascomycota","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"71","OTU4260","OTU4260",0.000232545208690579,0.914334920614702,0.283373037010646,0.0137,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea","Darksidea_alpha","Fungi","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Darksidea;s__Darksidea_alpha","-","-","-","-","-","-","-","Unassigned","-"
"72","OTU427","OTU427",0.000562686490850617,1.86113960411711,0.16108178707609,0.014,"Fungi","unk","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__unk;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"73","OTU4274","OTU4274",0.000518236676224567,1.8403188373225,0.16108178707609,0.0216,"Fungi","Ascomycota","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"74","OTU428","OTU428",0.00105251052451399,3.69658417802175,0.16108178707609,0.0044,"Fungi","unk","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__unk;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"75","OTU4383","OTU4383",0.000216716183226707,0.773975849773427,0.16108178707609,0.0134,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Didymosphaeria","unk","Fungi","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Didymosphaeria;s__unk","Didymosphaeria","13","Pathotroph-Saprotroph-Symbiotroph","Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Massimo NC, et al. 2015. Microbial Ecology 70:61-76 ((https://doi.org/10.1007/s00248-014-0563-6)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))'"
"76","OTU439","OTU439",0.00116737087810175,4.16938195222879,0.16108178707609,0.0137,"Fungi","Ascomycota","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"77","OTU4440","OTU4440",0.000413339767875645,1.6922332780565,0.16108178707609,0.0312,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Kalaharituber","unk","Fungi","k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Kalaharituber;s__unk","Kalaharituber","13","Symbiotroph","Ectomycorrhizal","NULL","NULL","Possible","NULL","b'Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)) (as ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (as not ECM)'"
"78","OTU4445","OTU4445",0.000683168895449485,2.67648047703102,0.16108178707609,0.0224,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Kalaharituber","unk","Fungi","k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Kalaharituber;s__unk","Kalaharituber","13","Symbiotroph","Ectomycorrhizal","NULL","NULL","Possible","NULL","b'Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)) (as ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (as not ECM)'"
"79","OTU4488","OTU4488",0.00037077339528638,1.57598179474204,0.16108178707609,0.0274,"Fungi","Ascomycota","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"80","OTU4522","OTU4522",0.000579164513449469,0.16108178707609,2.01214436086958,0.0161,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","unk","Fungi","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unk","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Microfungus","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
"81","OTU4610","OTU4610",0.000202613584196499,0.16108178707609,0.792859582397427,0.0441,"Fungi","Ascomycota","Eurotiomycetes","unk","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"82","OTU462","OTU462",0.000588731529090005,1.93516641844053,0.16108178707609,0.0096,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","unk","Fungi","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus;s__unk","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Microfungus","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
"83","OTU4664","OTU4664",0.000401889062514025,1.70054877774033,0.16108178707609,0.0354,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidium","unk","Fungi","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Ceratobasidium;s__unk","Ceratobasidiaceae","9","Pathotroph-Saprotroph-Symbiotroph","Endomycorrhizal-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Possible","Best known as plant pathogens, but also saprobic. Species are endomycorrhizal with a wide range of plant roots - especially of Orchidaceae but also even bryophytes (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
"84","OTU468","OTU468",0.000925716541111113,3.32359042395092,0.60508448240007,0.0274,"Fungi","unk","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__unk;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"85","OTU469","OTU469",0.00111566795621575,3.69107445653779,0.283373037010646,0.0062,"Fungi","Ascomycota","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"86","OTU47","OTU47",0.000437028383887249,1.39841599360671,0.16108178707609,0.0143,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","Conocybe_deliquescens","Fungi","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Conocybe;s__Conocybe_deliquescens","Agaricales","7","Pathotroph-Saprotroph-Symbiotroph","Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph","Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast","NULL","Possible","Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)","b'Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford (ISBN: 978-0851998268)'"
"87","OTU4724","OTU4724",0.000621598944598625,1.92465252060306,0.37940331931345,0.043,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","unk","Fungi","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unk","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Microfungus","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
"88","OTU475","OTU475",0.00104160118039631,3.82019116004136,0.16108178707609,0.0085,"Fungi","Ascomycota","Sordariomycetes","unk","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"89","OTU478","OTU478",0.00107546023234653,4.03068057497031,0.991949771647034,0.0386,"Fungi","unk","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__unk;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"90","OTU4826","OTU4826",0.000415450443002191,0.16108178707609,1.36831979017179,0.0256,"Fungi","Ascomycota","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"91","OTU50","OTU50",0.000221004743106339,0.800536547237545,0.16108178707609,0.0043,"Fungi","Ascomycota","Leotiomycetes","dummy_order_Scytalidium","dummy_family_Scytalidium","Scytalidium","Scytalidium_cuboideum","Fungi","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__dummy_order_Scytalidium;f__dummy_family_Scytalidium;g__Scytalidium;s__Scytalidium_cuboideum","Scytalidium","13","Saprotroph","Wood Saprotroph","NULL","Soft Rot","Probable","NULL","b'Nilsson T. 1973. Studia Forestalia Suecica 104:1-40 ((https://pub.epsilon.slu.se/5711/)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))'"
"92","OTU531","OTU531",0.000595256547160794,2.21854175028636,0.16108178707609,0.0268,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"93","OTU550","OTU550",0.000346030667017429,1.26023780257602,0.16108178707609,0.0449,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","unk","Fungi","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus;s__unk","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Microfungus","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
"94","OTU59","OTU59",0.00119376931875508,4.7247159279198,2.00168615334495,0.0425,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Montagnulaceae","Paraconiothyrium","unk","Fungi","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae;g__Paraconiothyrium;s__unk","Paraconiothyrium","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"95","OTU593","OTU593",0.000759785528060381,2.9423678107685,0.16108178707609,0.0368,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","unk","Fungi","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus;s__unk","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Microfungus","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
"96","OTU60","OTU60",0.0013269890620096,4.44432874189885,0.16108178707609,0.0216,"Fungi","Ascomycota","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"97","OTU602","OTU602",0.000385441248841063,1.45048960534187,0.16108178707609,0.023,"Fungi","unk","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__unk;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"98","OTU603","OTU603",0.000984909061796338,3.72796936028283,0.16108178707609,0.0114,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Diademaceae","Comoclathris","unk","Fungi","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Diademaceae;g__Comoclathris;s__unk","Comoclathris","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"99","OTU604","OTU604",0.00102862509937815,3.58266521726551,0.885367693851319,0.0248,"Fungi","Basidiomycota","Wallemiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium","unk","Fungi","k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Geminibasidiales;f__Geminibasidiaceae;g__Geminibasidium;s__unk","Geminibasidium","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"100","OTU628","OTU628",0.00138535758580033,0.24757857100409,4.57724495821977,0.018,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","unk","Fungi","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unk","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Microfungus","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
"101","OTU639","OTU639",0.000668802785389549,2.20052443810693,0.16108178707609,0.0306,"Fungi","Ascomycota","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"102","OTU64","OTU64",0.00116674252576092,4.60047504411355,1.2521888793832,0.0304,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","dummy_family_Neophaeococcomyces","Neophaeococcomyces","unk","Fungi","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__dummy_family_Neophaeococcomyces;g__Neophaeococcomyces;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"103","OTU659","OTU659",0.00120679318006786,0.93957628473608,4.05063739365816,0.0181,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","unk","Fungi","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Claroideoglomeraceae;g__Claroideoglomus;s__unk","Claroideoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"104","OTU66","OTU66",0.000484799127182716,0.326298494654958,1.83635058464905,0.0433,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","unk","Fungi","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;s__unk","Phaeosphaeria","13","Saprotroph","Undefined Saprotroph","NULL","NULL","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"105","OTU663","OTU663",0.00116283496801805,4.31579841355752,0.76701308825184,0.0448,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","unk","Fungi","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Phoma;s__unk","Didymellaceae","9","Pathotroph-Saprotroph","Animal Pathogen-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Possible","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"106","OTU67","OTU67",0.00154611346812824,7.42966967768282,2.64529825970235,0.0215,"Fungi","Ascomycota","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"107","OTU676","OTU676",0.000403229668031287,1.34126900322131,0.16108178707609,0.0193,"Fungi","Chytridiomycota","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__Chytridiomycota;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"108","OTU704","OTU704",0.000695896552400759,0.16108178707609,2.1504645406792,0.0252,"Fungi","Basidiomycota","Exobasidiomycetes","Microstromatales","Quambalariaceae","Quambalaria","Quambalaria_cyanescens","Fungi","k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Microstromatales;f__Quambalariaceae;g__Quambalaria;s__Quambalaria_cyanescens","Quambalaria","13","Pathotroph","Plant Pathogen","NULL","NULL","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"109","OTU727","OTU727",0.000352507044099772,1.30837492841703,0.16108178707609,0.0319,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"110","OTU733","OTU733",0.00112631900451103,3.93132067794834,0.473567558377776,0.002,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","unk","Fungi","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unk","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Microfungus","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
"111","OTU77","OTU77",0.00122321242025043,0.29577191824738,3.76650027794527,0.0388,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","unk","Fungi","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Entoloma;s__unk","Agaricales","7","Pathotroph-Saprotroph-Symbiotroph","Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph","Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast","NULL","Possible","Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)","b'Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford (ISBN: 978-0851998268)'"
"112","OTU783","OTU783",0.000942494234619298,4.13441431713245,1.14907567518371,0.0289,"Fungi","unk","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__unk;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
"113","OTU793","OTU793",0.000676514505286959,2.31642585567434,0.16108178707609,0.0174,"Fungi","Ascomycota","unk","unk","unk","unk","unk","Fungi","k__Fungi;p__Ascomycota;c__unk;o__unk;f__unk;g__unk;s__unk","-","-","-","-","-","-","-","Unassigned","-"
