"","OTU","total_OTU_sum","Grass_BOGR_OTU_sum","Grass_BOER_OTU_sum","Grass_PLJA_OTU_sum","Ecotone_BOER_OTU_sum","Ecotone_PLJA_OTU_sum","Ecotone_LATR_OTU_sum","Shrub_LATR_OTU_sum","Domain","Phylum","Class","Order","Family","Genus","Species","Taxon","Taxon.Level","Trophic.Mode","Guild","Growth.Morphology","Trait","Confidence.Ranking","Notes","Citation.Source"
"1416","OTU338",1389,105,63,378,154,581,73,35,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Lentitheciaceae","g:Keissleriella","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2224","OTU525",1372,0,0,0,703,668,0,1,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2200","OTU502",1371,352,349,196,0,270,204,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2262","OTU563",1366,299,294,771,1,0,0,1,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","UNKNOWN","UNKNOWN","UNKNOWN","Glomeromycota","3","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2222","OTU523",1349,13,0,1,22,1313,0,0,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Auriculariales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1761","OTU409",1347,329,3,396,120,100,270,129,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"1477","OTU349",1336,0,135,130,801,213,37,20,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1653","OTU385",1326,0,7,0,1039,272,8,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1596","OTU374",1319,18,7,56,33,34,506,665,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Chaetothyriales","f:Herpotrichiellaceae","g:Capronia","UNKNOWN","Herpotrichiellaceae","9","Pathotroph-Saprotroph","Animal Pathogen-Fungal Parasite-Undefined Saprotroph","Facultative Yeast-Microfungus","NULL","Probable","Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"656","OTU192",1315,0,0,1,1,688,625,0,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","UNKNOWN","UNKNOWN","UNKNOWN","Glomeromycota","3","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"1542","OTU362",1307,1,40,1,201,935,129,0,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"165","OTU1205",1306,0,48,0,0,307,11,940,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Xylariales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1549","OTU364",1303,13,21,1269,0,0,0,0,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Cantharellales","f:Ceratobasidiaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1823","OTU419",1303,4,7,0,220,270,261,541,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1429","OTU340",1294,561,45,11,31,0,0,646,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1806","OTU416",1268,602,225,353,72,12,4,0,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1569","OTU368",1252,0,355,0,380,413,31,73,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Branch06","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1406","OTU336",1251,0,0,0,158,1092,1,0,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Bolbitiaceae","g:Conocybe","UNKNOWN","Bolbitiaceae","9","Saprotroph","Dung Saprotroph-Plant Saprotroph-Soil Saprotroph","Agaricoid","NULL","Probable","On the soil, rotting vegetation, etc., sometimes associated with dung, animals nests etc. Most species are found in grassland, some are drought-adapted (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"1619","OTU378",1243,183,528,96,1,145,0,290,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","g:Rhizophagus","UNKNOWN","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"1115","OTU2725",1237,278,19,940,0,0,0,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2107","OTU469",1234,31,1,29,558,574,41,0,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Phaeosphaeriaceae","g:Populocrescentia","s:Populocrescentia_ammophilae_SH1203747.08FU","Phaeosphaeriaceae","9","Pathotroph-Saprotroph","Fungal Parasite-Plant Pathogen-Plant Saprotroph","Microfungus","NULL","Probable","Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"2203","OTU505",1228,1,0,214,0,941,1,71,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Xylariales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1560","OTU366",1227,1226,0,0,1,0,0,0,"d:Fungi","p:Basidiomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1008","OTU250",1226,2,0,1,1042,2,179,0,"d:Fungi","p:Ascomycota","c:Dothideomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"243","OTU131",1222,110,299,9,503,298,3,0,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Sordariales","f:Chaetomiaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1685","OTU392",1215,0,3,0,282,283,43,604,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Pleosporaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1797","OTU415",1215,464,221,486,44,0,0,0,"d:Fungi","p:Basidiomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1916","OTU435",1211,866,217,126,1,1,0,0,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Sebacinales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1531","OTU360",1200,20,111,151,13,257,0,648,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Magnaporthales","f:Magnaporthaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1873","OTU427",1193,0,0,0,1190,3,0,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2468","OTU774",1188,314,56,817,0,0,1,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1772","OTU411",1179,31,0,1147,0,0,1,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2287","OTU587",1178,81,2,67,71,613,344,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1602","OTU375",1177,0,1176,0,0,0,0,1,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Agaricaceae","UNKNOWN","UNKNOWN","Agaricales","7","Pathotroph-Saprotroph-Symbiotroph","Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph","Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast","NULL","Possible","Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)","b'Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford'"
"1743","OTU405",1171,2,0,0,74,1,84,1010,"d:Fungi","p:Ascomycota","c:Orbiliomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2003","OTU4501",1171,2,625,135,179,114,115,1,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","g:Kamienskia","s:Kamienskia_divaricata_SH1561105.08FU","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2051","OTU459",1170,0,120,3,24,81,840,102,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Pleosporaceae","g:Alternaria","UNKNOWN","Pleosporaceae","9","Pathotroph-Saprotroph","Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Probable","Necrotrophic pathogens and saprobes, especially associated with grasses. Many species are seed-borne (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; David AS, et al. 2016. Microbial Ecology 71:912-926; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]'"
"2568","OTU885",1170,303,117,409,0,59,178,104,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"1855","OTU424",1167,0,133,0,64,801,168,1,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"1677","OTU3894",1149,6,0,9,1125,5,3,1,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1958","OTU443",1147,327,753,66,1,0,0,0,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1641","OTU382",1130,76,732,45,232,30,0,15,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1139","OTU2778",1123,475,352,296,0,0,0,0,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"815","OTU2181",1121,224,838,33,26,0,0,0,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Eurotiales","f:Aspergillaceae","g:Aspergillus","UNKNOWN","Eurotiales","7","Saprotroph","Undefined Saprotroph","Microfungus","NULL","Possible","NULL","b'Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158'"
"1786","OTU413",1120,9,55,138,193,699,1,25,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Pleosporales_fam_Incertae_sedis","g:Amarenomyces","s:Amarenomyces_ammophilae_SH1525238.08FU","Amarenomyces","13","Saprotroph","Undefined Saprotroph","Microfungus","NULL","Probable","A marine fungus (Eriksson 1981)","b'Eriksson OE. 1981. Opera Botanica 60:1-209'"
"2263","OTU564",1119,36,595,65,68,354,1,0,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Sporormiaceae","g:Sparticola","s:Sparticola_forlicesenae_SH1551390.08FU","Sporormiaceae","9","Saprotroph","Dung Saprotroph-Plant Saprotroph","Microfungus","NULL","Probable","Saprobic, associated with dung and rotting vegetation (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"393","OTU153",1117,12,0,99,29,23,67,887,"d:Fungi","p:Ascomycota","c:Leotiomycetes","o:Helotiales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"782","OTU213",1109,15,1,29,281,169,454,160,"d:Fungi","p:Ascomycota","c:Leotiomycetes","o:Helotiales","f:Helotiaceae","g:Articulospora","UNKNOWN","Helotiaceae","9","Saprotroph-Symbiotroph","Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph","Microfungus","NULL","Probable","Usually saprobic on herbaceous or woody tissues, some species fungicolous. A few species are known to form mycorrhizae (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"1280","OTU307",1102,0,140,439,158,343,20,2,"d:Fungi","p:Mortierellomycota","c:Mortierellomycetes","o:Mortierellales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2232","OTU533",1094,171,461,46,0,256,0,160,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","g:Rhizophagus","UNKNOWN","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"1683","OTU391",1086,546,284,59,0,197,0,0,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","g:Kamienskia","s:Kamienskia_divaricata_SH1561105.08FU","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"1084","OTU2651",1085,104,0,0,819,161,1,0,"d:Fungi","p:Glomeromycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"715","OTU202",1076,218,48,247,17,483,61,2,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"926","OTU2356",1072,20,219,0,520,258,55,0,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2518","OTU83",1072,299,524,186,16,34,12,1,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1411","OTU337",1069,93,76,265,177,277,86,95,"d:Fungi","p:Chytridiomycota","c:Spizellomycetes","o:Spizellomycetales","f:Spizellomycetaceae","g:Spizellomyces","s:Spizellomyces_pseudodichotomus_SH1544456.08FU","Spizellomycetaceae","9","Pathotroph","Plant Pathogen-Undefined Parasite-Undefined Saprotroph","Microfungus","NULL","Probable","Common in the soil and also as parasites of a range of soil organisms and plants (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"2545","OTU855",1064,757,0,1,0,305,0,1,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","g:Kamienskia","s:Kamienskia_divaricata_SH1561105.08FU","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"1944","OTU440",1063,214,18,217,0,96,309,209,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"1979","OTU446",1035,0,0,1034,1,0,0,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2306","OTU606",1035,19,1,213,509,117,169,7,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Lophiostomataceae","g:Lophiostoma","UNKNOWN","Lophiostomataceae","9","Pathotroph-Saprotroph","Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Probable","Saprobic or necrotrophic on herbaceous and woody stems (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"1291","OTU3098",1027,0,85,0,164,644,133,1,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2429","OTU733",1027,0,18,0,659,350,0,0,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2151","OTU478",1022,72,114,71,306,176,283,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2006","OTU451",1018,0,0,0,428,65,482,43,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Phaeosphaeriaceae","g:Dematiopleospora","s:Dematiopleospora_rosicola_SH1525145.08FU","Phaeosphaeriaceae","9","Pathotroph-Saprotroph","Fungal Parasite-Plant Pathogen-Plant Saprotroph","Microfungus","NULL","Probable","Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"2567","OTU884",1016,309,516,190,0,0,1,0,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"1953","OTU442",1013,0,0,0,1,0,1012,0,"d:Fungi","p:Basidiomycota","c:Tremellomycetes","o:Holtermanniales","f:Holtermanniales_fam_Incertae_sedis","g:Holtermanniella","s:Holtermanniella_takashimae_SH1610807.08FU","-","-","-","-","-","-","-","Unassigned","-"
"2226","OTU527",1010,906,0,14,0,90,0,0,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1990","OTU448",1008,1007,0,0,1,0,0,0,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Verrucariales","f:Verrucariaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1182","OTU288",1006,127,545,10,98,93,132,1,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Chaetothyriales","f:Herpotrichiellaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2173","OTU482",1006,82,636,0,287,0,0,1,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1230","OTU2969",1003,221,466,315,1,0,0,0,"d:Fungi","p:Mortierellomycota","c:Mortierellomycetes","o:Mortierellales","f:Mortierellaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2249","OTU551",987,171,769,2,28,0,5,12,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Onygenales","f:Onygenaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2012","OTU452",980,0,0,0,0,0,109,871,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1377","OTU331",979,173,664,38,104,0,0,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1999","OTU449",979,197,54,200,27,149,237,115,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2124","OTU4724",954,25,2,4,263,659,1,0,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"1624","OTU3789",946,519,116,305,0,1,5,0,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2066","OTU462",946,0,0,0,129,143,424,250,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2212","OTU513",941,0,2,0,22,902,15,0,"d:Fungi","p:Ascomycota","c:Sordariomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2002","OTU450",939,27,79,177,0,0,478,178,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2213","OTU514",937,12,86,54,372,280,2,131,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1783","OTU4127",931,1,2,918,0,0,10,0,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2026","OTU4542",930,343,127,350,0,110,0,0,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2367","OTU667",930,58,374,10,340,147,0,1,"d:Fungi","p:Glomeromycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1866","OTU426",928,685,56,186,0,0,0,1,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2127","OTU473",927,75,245,215,167,0,224,1,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Xylariales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2179","OTU483",927,0,866,59,1,1,0,0,"d:Fungi","p:Ascomycota","c:Orbiliomycetes","o:Orbiliales","f:Orbiliaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2286","OTU586",922,108,179,311,185,45,94,0,"d:Fungi","p:Ascomycota","c:Sordariomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2305","OTU605",917,71,208,338,81,135,0,84,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2192","OTU496",915,0,547,0,0,1,351,16,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Sordariales","f:Chaetomiaceae","g:Chaetomium","s:Chaetomium_iranianum_SH1615635.08FU","Chaetomium","13","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Saprotroph-Wood Saprotroph","Microfungus","Soft Rot","Possible","Saprobic, acting as key decay organisms of plant materials and plant-derived commodities (Cannon & Kirk 2007); Epiphyte detection method-culture (Massimo et al. 2015); Endophyte detection method-culture (Busby et al. 2016, David et al. 2016); Likely opportunistic human pathogen (Irinyi et al. 2015)","b'Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Bills GF, et al. 2013. Current Opinion in microbiology, 16:549-565; Tedersoo L, et al. 2014. Science 346:1256688; Irinyi L, et al. 2015. Medical Mycology 53:313-337; Massimo NC, et al. 2015. Microbial Ecology 70:61-76; Busby PE, et al. 2016. New Phytologist 209:1681-1692; David AS, et al. 2016. Microbial Ecology 71:912-926'"
