"","OTU","average","av_Ecotone","av_Grassland","pval","SIM_dir","Rank","Final.Taxonomy.for.Funguild","taxonomy","Taxon","Taxon.Level","Trophic.Mode","Guild","Confidence.Ranking","Growth.Morphology","Trait","Notes","Citation.Source"
"36","OTU468",0.00135048866927623,4.79173972427238,0.438969694246761,9e-04,"Ecotone",320,"Fungi,unk","k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp","-","-","-","-","-","-","-","Unassigned","-"
"37","OTU481",0.000691784553803372,0.16108178707609,2.35783802525682,0.0055,"Grassland",313,"Fungi,Ascomycota,Dothideomycetes","k__Fungi;p__Ascomycota;c__Dothideomycetes","-","-","-","-","-","-","-","Unassigned","-"
"38","OTU51",0.00116399867938213,0.577142519560162,3.76615283971299,0.0404,"Grassland",25,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lepiotaceae","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lepiotaceae","Agaricales","7","Pathotroph-Saprotroph-Symbiotroph","Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph","Possible","Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast","NULL","Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)","Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford"
"39","OTU531",0.000831634779296904,2.93524498373148,0.16108178707609,0.0208,"Ecotone",490,"Fungi,Ascomycota,Dothideomycetes,Pleosporales","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales","-","-","-","-","-","-","-","Unassigned","-"
"40","OTU563",0.00102312320412272,0.16108178707609,3.11194751966937,9e-04,"Grassland",325,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus_20482,unk","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus_20482;unk","Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"41","OTU67",0.0013451366570101,5.67851779724363,1.68047263379831,0.0156,"Ecotone",75,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae","k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae","Pezizaceae","9","Saprotroph-Symbiotroph","Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph","Possible","Pezizoid","NULL","Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
"42","OTU69",0.000886383630059092,3.08647200131787,0.356761266098424,0.009,"Ecotone",98,"Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; dothideomyceta; Dothideomycetes; Pleosporomycetidae; Pleosporales; Massarineae; Dictyosporiaceae; Dictyosporium; Dictyosporium heptasporum","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Dictyosporiaceae;g__Dictyosporium;Dictyosporiumheptasporum","Dictyosporium","13","Saprotroph","Undefined Saprotroph","Probable","Microfungus","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)"
"43","OTU8",0.00134108143771109,1.20032102998804,4.40728428721976,0.0344,"Grassland",11,"Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; Pezizomycetes; Pezizales","k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales","-","-","-","-","-","-","-","Unassigned","-"
"44","OTU81",0.00147969423935362,6.77233659604949,4.1864570429676,0.0486,"Ecotone",34,"Fungi,Zygomycota,dummy_class_Mortierellales,Mortierellales,Mortierellaceae,Mortierella_20345,unk","k__Fungi;p__Zygomycota;c__dummy_class_Mortierellales;o__Mortierellales;f__Mortierellaceae;g__Mortierella_20345;unk","Mortierellaceae","9","Saprotroph-Symbiotroph","Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph","Possible","Microfungus","NULL","Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Purahong W, et al. 2016. Molecular Ecology 25:4059-4074"
"45","OTU99",0.00138596303300567,4.66112679819335,2.71404084248961,0.0494,"Ecotone",66,"Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; dothideomyceta; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Phaeosphaeriaceae","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae","Phaeosphaeriaceae","9","Pathotroph-Saprotroph","Fungal Parasite-Plant Pathogen-Plant Saprotroph","Probable","Microfungus","NULL","Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
