"","variable","Trophic.Mode","value","site","SoilProcessID","SAND","SILT","CLAY","pH","P_ppm","K_ppm","OM_percent","NO3_N_ppm","Site","Species","Replicate","NAG_soil","NAG_OM","AlkP_soil","AlkP_OM","AAP_soil","AAP_OM","BG_soil","BG_OM","sampleID","project","Location","Spp","Rep","site_spp"
"20","fungi.Ecotone.BOER.7","Saprotroph",193.235401234937,"Ecotone_BOER_7",71,59.2,20,20.8,8.5,0,184,1,1.4,"E","Boer",7,6.86,353.72,52.46,2704.61,"200.06","10315.07",49.5,2551.98,"fungi.Ecotone.BOER.7","transitions","Ecotone","BOER",7,"E.Boer"
"21","fungi.Ecotone.BOER.7","Symbiotroph",158.926718949224,"Ecotone_BOER_7",71,59.2,20,20.8,8.5,0,184,1,1.4,"E","Boer",7,6.86,353.72,52.46,2704.61,"200.06","10315.07",49.5,2551.98,"fungi.Ecotone.BOER.7","transitions","Ecotone","BOER",7,"E.Boer"
"22","fungi.Ecotone.BOER.8","Pathotroph",54.5634715051292,"Ecotone_BOER_8",72,57.6,19.2,23.2,8.5,0,191,0.8,1.1,"E","Boer",8,2.39,127.67,29.14,1559.38,"215.34","11523.25",21.56,1153.93,"fungi.Ecotone.BOER.8","transitions","Ecotone","BOER",8,"E.Boer"
"23","fungi.Ecotone.BOER.8","Saprotroph",149.360855182326,"Ecotone_BOER_8",72,57.6,19.2,23.2,8.5,0,191,0.8,1.1,"E","Boer",8,2.39,127.67,29.14,1559.38,"215.34","11523.25",21.56,1153.93,"fungi.Ecotone.BOER.8","transitions","Ecotone","BOER",8,"E.Boer"
"24","fungi.Ecotone.BOER.8","Symbiotroph",139.105035118253,"Ecotone_BOER_8",72,57.6,19.2,23.2,8.5,0,191,0.8,1.1,"E","Boer",8,2.39,127.67,29.14,1559.38,"215.34","11523.25",21.56,1153.93,"fungi.Ecotone.BOER.8","transitions","Ecotone","BOER",8,"E.Boer"
"25","fungi.Ecotone.LATR.1","Pathotroph",59.07569028299,"Ecotone_LATR_1",73,61.6,23.2,15.2,8.5,1,191,0.7,1.4,"E","Latr",1,3.76,194.75,59.14,3064.45,"183.84","9525.28",45.22,2342.88,"fungi.Ecotone.LATR.1","transitions","Ecotone","LATR",1,"E.Latr"
"26","fungi.Ecotone.LATR.1","Saprotroph",192.045791738068,"Ecotone_LATR_1",73,61.6,23.2,15.2,8.5,1,191,0.7,1.4,"E","Latr",1,3.76,194.75,59.14,3064.45,"183.84","9525.28",45.22,2342.88,"fungi.Ecotone.LATR.1","transitions","Ecotone","LATR",1,"E.Latr"
"27","fungi.Ecotone.LATR.1","Symbiotroph",216.832990124379,"Ecotone_LATR_1",73,61.6,23.2,15.2,8.5,1,191,0.7,1.4,"E","Latr",1,3.76,194.75,59.14,3064.45,"183.84","9525.28",45.22,2342.88,"fungi.Ecotone.LATR.1","transitions","Ecotone","LATR",1,"E.Latr"
"28","fungi.Ecotone.LATR.2","Pathotroph",29.2367296628426,"Ecotone_LATR_2",74,67.6,19.2,13.2,8.3,0,199,1,2.1,"E","Latr",2,3.52,170.08,34.99,1692.05,"110.85","5360.3",35.03,1693.75,"fungi.Ecotone.LATR.2","transitions","Ecotone","LATR",2,"E.Latr"
"29","fungi.Ecotone.LATR.2","Saprotroph",158.137569304447,"Ecotone_LATR_2",74,67.6,19.2,13.2,8.3,0,199,1,2.1,"E","Latr",2,3.52,170.08,34.99,1692.05,"110.85","5360.3",35.03,1693.75,"fungi.Ecotone.LATR.2","transitions","Ecotone","LATR",2,"E.Latr"
