"","sampleID","Shannon","InvSimpson","site","SoilProcessID","SAND","SILT","CLAY","pH","P_ppm","K_ppm","OM_percent","NO3_N_ppm","Site","Species","Replicate","NAG_soil","NAG_OM","AlkP_soil","AlkP_OM","AAP_soil","AAP_OM","BG_soil","BG_OM","project","Location","Spp","Rep","site_spp","Chao1"
"21","fungi.Ecotone.PLJA.5",6.62581514412048,384.1242162322,"Ecotone_PLJA_5",61,66.8,14,19.2,8.4,0,185,0.7,1.2,"E","Plja",5,8.49,504.08,71.1,4220.09,"131.62","7812.46",92.21,5472.87,"transitions","Ecotone","PLJA",5,"E.Plja",371.272727272727
"22","fungi.Ecotone.PLJA.6",6.76473635055534,468.894620276803,"Ecotone_PLJA_6",62,59.2,20,20.8,8.5,0,177,0.9,1.1,"E","Plja",6,4.44,245.52,41.94,2320.53,"169.06","9353.45",44.49,2461.71,"transitions","Ecotone","PLJA",6,"E.Plja",539.15
"23","fungi.Ecotone.PLJA.7",6.7458832091182,489.316293832337,"Ecotone_PLJA_7",63,69.2,16,14.8,8.5,5,149,0.7,1.7,"E","Plja",7,4.28,360.6,46.85,3945.92,"74.08","6239.17",69.73,5872.96,"transitions","Ecotone","PLJA",7,"E.Plja",502.965517241379
"24","fungi.Ecotone.PLJA.8",6.6820488852018,416.100060072773,"Ecotone_PLJA_8",64,61.2,18,20.8,8.4,0,182,0.7,1.9,"E","Plja",8,2.26,125.24,25.31,1404.01,"159.02","8822.31",15.9,882.25,"transitions","Ecotone","PLJA",8,"E.Plja",445.166666666667
"25","fungi.Grass.BOER.1",6.57230690572106,250.198726128754,"Grass_BOER_1",41,48,26,26,8.5,19,255,1.2,1,"G","Boer",1,2.74,109.36,49,1952.49,"280.79","11187.96",24.67,983.01,"transitions","Grass","BOER",1,"G.Boer",186.666666666667
"26","fungi.Grass.BOER.2",6.6904655065914,448.53052975676,"Grass_BOER_2",42,50,30,20,8.4,25,251,1.1,2.7,"G","Boer",2,7.06,298.56,59.01,2496.09,"194.39","8222.43",59.96,2536.29,"transitions","Grass","BOER",2,"G.Boer",484.25
"27","fungi.Grass.BOER.3",6.68960100489622,445.820347906512,"Grass_BOER_3",43,54,24,22,8.4,26,285,1.5,1.6,"G","Boer",3,12.84,391.01,103.5,3151.92,"239.59","7296.37",112.67,3431.09,"transitions","Grass","BOER",3,"G.Boer",396.272727272727
"28","fungi.Grass.BOER.4",6.80355634618607,381.481987424456,"Grass_BOER_4",44,54,20,26,8.4,23,265,1.4,1.5,"G","Boer",4,6.12,221.62,80.07,2899.79,"317.2","11487.83",53.44,1935.21,"transitions","Grass","BOER",4,"G.Boer",332.909090909091
"29","fungi.Grass.BOER.5",6.60494402870995,321.048354020352,"Grass_BOER_5",45,52,26,22,8.4,31,300,1.1,3.8,"G","Boer",5,4.38,181.11,105.02,4339.92,"236.47","9772.24",32.99,1363.26,"transitions","Grass","BOER",5,"G.Boer",263.3
"30","fungi.Grass.BOER.6",6.59070621453129,384.116543698477,"Grass_BOER_6",46,61,18.33333333,20.66666667,8.4,28,291,1.2,3.5,"G","Boer",6,8.87,322.83,50.38,1833.43,"152.6","5553.43",55.73,2028.12,"transitions","Grass","BOER",6,"G.Boer",380.882352941176
