"","OTU","Row.names","average","av_Ecotone","av_Shrub","pval","SIM_dir","Rank","Final.Taxonomy.for.Funguild","taxonomy","Taxon","Taxon.Level","Trophic.Mode","Guild","Confidence.Ranking","Growth.Morphology","Trait","Notes","Citation.Source"
"19","OTU361","OTU361",0.00152252448520225,2.26913829498669,7.1044348644524,0.0279,"Shrubland",288,"Fungi,Ascomycota,Pezizomycetes,unk","k__Fungi;p__Ascomycota;c__Pezizomycetes;unk","-","-","-","-","-","-","-","Unassigned","-"
"20","OTU387","OTU387",0.000807284091429341,0.16108178707609,3.0682199408378,0.0335,"Shrubland",425,"Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,dummy_family_Cyberlindnera,Cyberlindnera_534376,Cyberlindnera_jadinii_534383","k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__dummy_family_Cyberlindnera;g__Cyberlindnera_534376;s__Cyberlindnera_jadinii_534383","Saccharomycetales","7","Saprotroph","Undefined Saprotroph","Possible","Yeast","NULL","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
"21","OTU405","OTU405",0.00115402213175759,1.25300458897032,4.35540156260729,0.0475,"Shrubland",356,"Fungi,Ascomycota,unk","k__Fungi;p__Ascomycota;unk","-","-","-","-","-","-","-","Unassigned","-"
"22","OTU45","OTU45",0.00176153189298145,1.99246328327357,8.22542599402171,0.0199,"Shrubland",28,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma_19339,unk","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Tulostoma_19339;unk","Tulostoma","13","Saprotroph","Soil Saprotroph","Probable","Gasteroid","NULL","Common name - stalked puffball","Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688"
"23","OTU47","OTU47",0.000306440292501008,0.16108178707609,1.28074730523521,0.0369,"Shrubland",281,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe_17357,Conocybe_deliquescens_521941","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Conocybe_17357;Conocybe_deliquescens_521941","Conocybe","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688"
"24","OTU476","OTU476",0.00138254702360414,0.16108178707609,6.00612056851961,0.0108,"Shrubland",418,"Fungi,unk","k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp","-","-","-","-","-","-","-","Unassigned","-"
"25","OTU49","OTU49",0.000781675142267938,3.19142750025843,0.16108178707609,0.0241,"Ecotone",118,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia_7847","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Curvularia_7847","Curvularia","13","Pathotroph","Plant Pathogen","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688"
"26","OTU529","OTU529",0.00122785711117912,0.16108178707609,5.60869329824493,0.0326,"Shrubland",480,"Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Tulasnellaceae","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Tulasnellaceae","Tulasnellaceae","9","Saprotroph-Symbiotroph","Ectomycorrhizal-Undefined Saprotroph","Probable","Corticioid","NULL","Typically found on decaying wood and other rotting vegetation, presumably saprobic in nutrition. Many anamorphic taxa have mycorrhizal associations with orchids. The linkages between teleomorph and anamorph need further study; some Epulorhiza species have associations with the Sebacinaceae rather than Tulasnellaceae (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
"27","OTU533","OTU533",0.000529486283735612,0.16108178707609,2.14830249438161,0.0375,"Shrubland",371,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus_20482,unk","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus_20482;unk","Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"28","OTU575","OTU575",0.00100661465591686,0.16108178707609,4.92943000697756,0.0452,"Shrubland",483,"Fungi,Ascomycota,Dothideomycetes","k__Fungi;p__Ascomycota;c__Dothideomycetes","-","-","-","-","-","-","-","Unassigned","-"
"29","OTU583","OTU583",0.00151849886800175,1.22656227104321,7.28734684057607,0.045,"Shrubland",127,"Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Xylariomycetidae; Xylariales; Xylariales incertae sedis; Monosporascus","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylarialesincertaesedis;g__Monosporascus","Monosporascus","13","Pathotroph","Plant Pathogen","Probable","NULL","NULL","NULL","http://www.apsnet.org/publications/commonnames/Pages/default.aspx"
"30","OTU604","OTU604",0.00144107529134019,1.912153437089,7.04841983911262,0.0245,"Shrubland",306,"Fungi,Basidiomycota,Wallemiomycetes,Geminibasidiales,Geminibasidiaceae,Geminibasidium_801333,unk","k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Geminibasidiales;f__Geminibasidiaceae;g__Geminibasidium_801333;unk","Geminibasidium","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688"
"31","OTU67","OTU67",0.00136036167114049,5.65591351923549,1.13223151191169,0.0324,"Ecotone",75,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae","k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae","Pezizaceae","9","Saprotroph-Symbiotroph","Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph","Possible","Pezizoid","NULL","Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
"32","OTU69","OTU69",0.00203608823112788,2.5305748360731,10.0040336320948,0.0074,"Shrubland",98,"Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; dothideomyceta; Dothideomycetes; Pleosporomycetidae; Pleosporales; Massarineae; Dictyosporiaceae; Dictyosporium; Dictyosporium heptasporum","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Dictyosporiaceae;g__Dictyosporium;Dictyosporiumheptasporum","Dictyosporium","13","Saprotroph","Undefined Saprotroph","Probable","Microfungus","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)"
"33","OTU78","OTU78",0.00103017322271749,0.67832343043365,3.79020089093837,0.03,"Shrubland",54,"Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus_7248","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus_7248","Eurotiales","7","Saprotroph","Undefined Saprotroph","Possible","Microfungus","NULL","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
"34","OTU81","OTU81",0.000707507190154363,7.71765927874352,10.2941485807797,0.0218,"Shrubland",34,"Fungi,Zygomycota,dummy_class_Mortierellales,Mortierellales,Mortierellaceae,Mortierella_20345,unk","k__Fungi;p__Zygomycota;c__dummy_class_Mortierellales;o__Mortierellales;f__Mortierellaceae;g__Mortierella_20345;unk","Mortierellaceae","9","Saprotroph-Symbiotroph","Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph","Possible","Microfungus","NULL","Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Purahong W, et al. 2016. Molecular Ecology 25:4059-4074"
