"","OTU","OTU_sum","Domain","Phylum","Class","Order","Family","Genus","Species","Taxon","Taxon.Level","Trophic.Mode","Guild","Growth.Morphology","Trait","Confidence.Ranking","Notes","Citation.Source"
"2308","OTU608",604,"d:Fungi","p:Ascomycota","c:Sordariomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2217","OTU519",603,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Pleosporaceae","g:Alternaria","UNKNOWN","Pleosporaceae","9","Pathotroph-Saprotroph","Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Probable","Necrotrophic pathogens and saprobes, especially associated with grasses. Many species are seed-borne (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; David AS, et al. 2016. Microbial Ecology 71:912-926; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]'"
"2309","OTU609",602,"d:Fungi","p:Basidiomycota","c:Tremellomycetes","o:Tremellales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"172","OTU1215",600,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"445","OTU160",600,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Entolomataceae","g:Clitopilus","UNKNOWN","Entolomataceae","9","Pathotroph-Saprotroph-Symbiotroph","Ectomycorrhizal-Fungal Parasite-Soil Saprotroph-Undefined Saprotroph","Agaricoid","NULL","Possible","Saprobic or ectomycorrhizal, in both broadleaved and coniferous forests; a few species associated with other substrata such as dung and mosses (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; List compiled by John Plischke III (http://home.comcast.net/~grifola/fungionfungi.pdf)'"
"2471","OTU777",600,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Entolomataceae","g:Entoloma","s:Entoloma_flocculosum_SH1649013.08FU","Entoloma","13","Pathotroph-Saprotroph-Symbiotroph","Ectomycorrhizal-Fungal Parasite-Soil Saprotroph-Undefined Saprotroph","Agaricoid","NULL","Possible","NULL","b'Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 (ECM/(not ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (sensu stricto); http://mycorrhizas.info/ecmf.html (ECM/(not ECM)'"
"2314","OTU613",597,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2296","OTU596",596,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"4","OTU1001",595,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Dothideales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1203","OTU2920",595,"d:Fungi","p:Glomeromycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2317","OTU616",592,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2260","OTU561",591,"d:Fungi","p:Ascomycota","c:Sordariomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2335","OTU634",591,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2247","OTU549",589,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Sordariales","f:Chaetomiaceae","g:Myceliophthora","UNKNOWN","Chaetomiaceae","9","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Saprotroph-Wood Saprotroph","Microfungus","Soft Rot","Possible","Saprobic, acting as key decay organisms of plant materials and plant-derived commodities (Cannon & Kirk 2007); Epiphyte detection method-culture (Massimo et al. 2015); Endophyte detection method-culture (Busby et al. 2016, David et al. 2016); Likely opportunistic human pathogen (Irinyi et al. 2015)","b'Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Bills GF, et al. 2013. Current Opinion in microbiology, 16:549-565; Tedersoo L, et al. 2014. Science 346:1256688; Irinyi L, et al. 2015. Medical Mycology 53:313-337; Massimo NC, et al. 2015. Microbial Ecology 70:61-76; Busby PE, et al. 2016. New Phytologist 209:1681-1692; David AS, et al. 2016. Microbial Ecology 71:912-926'"
"2338","OTU638",589,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2246","OTU548",588,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Sporormiaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1485","OTU3508",587,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1798","OTU4150",587,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2327","OTU625",582,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2350","OTU650",580,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Hypocreales","f:Cordycipitaceae","UNKNOWN","UNKNOWN","Hypocreales","7","Saprotroph","Undefined Saprotroph","Microfungus","NULL","Possible","NULL","b'Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158'"
"2313","OTU612",576,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","UNKNOWN","UNKNOWN","UNKNOWN","Glomeromycota","3","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2457","OTU760",575,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2362","OTU662",573,"d:Fungi","p:Ascomycota","c:Orbiliomycetes","o:Orbiliales","f:Orbiliaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2374","OTU676",572,"d:Fungi","p:Chytridiomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2385","OTU689",570,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2297","OTU597",569,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Agaricaceae","g:Tulostoma","UNKNOWN","Agaricaceae","9","Saprotroph","Undefined Saprotroph","Agaricoid-Gasteroid-Secotioid","NULL","Probable","Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"2299","OTU599",569,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Agaricaceae","g:Leucoagaricus","UNKNOWN","Agaricaceae","9","Saprotroph","Undefined Saprotroph","Agaricoid-Gasteroid-Secotioid","NULL","Probable","Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"2422","OTU725",569,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Cantharellales","f:Ceratobasidiaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1555","OTU365",563,"d:Fungi","p:Glomeromycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1369","OTU3294",562,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2239","OTU541",560,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2357","OTU657",550,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Lophiostomataceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2608","OTU927",547,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","Glomeromycota","3","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"1355","OTU3253",546,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","UNKNOWN","UNKNOWN","UNKNOWN","Glomeromycota","3","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2380","OTU681",545,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2284","OTU584",544,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1341","OTU3216",541,"d:Fungi","p:Glomeromycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1592","OTU3730",541,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","UNKNOWN","UNKNOWN","UNKNOWN","Glomeromycota","3","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"1470","OTU3470",533,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2292","OTU592",533,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Agaricaceae","g:Tulostoma","UNKNOWN","Agaricaceae","9","Saprotroph","Undefined Saprotroph","Agaricoid-Gasteroid-Secotioid","NULL","Probable","Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"2657","OTU978",532,"d:Fungi","p:Ascomycota","c:Sordariomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2334","OTU633",530,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2302","OTU602",526,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2353","OTU653",526,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","g:Kamienskia","s:Kamienskia_divaricata_SH1561105.08FU","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2400","OTU702",523,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2627","OTU947",519,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Cantharellales","f:Ceratobasidiaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2324","OTU622",517,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Cantharellales","f:Tulasnellaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2358","OTU658",517,"d:Fungi","p:Ascomycota","c:Lecanoromycetes","o:Acarosporales","f:Acarosporaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2398","OTU700",517,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2532","OTU842",517,"d:Fungi","p:Glomeromycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2118","OTU471",516,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2188","OTU492",516,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Hypocreales","f:Nectriaceae","g:Gibberella","UNKNOWN","Hypocreales","7","Saprotroph","Undefined Saprotroph","Microfungus","NULL","Possible","NULL","b'Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158'"
"1843","OTU4220",515,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Branch06","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2185","OTU489",513,"d:Fungi","p:Chytridiomycota","c:Spizellomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2365","OTU665",511,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Hypocreales","f:Nectriaceae","g:Fusarium","UNKNOWN","Hypocreales","7","Saprotroph","Undefined Saprotroph","Microfungus","NULL","Possible","NULL","b'Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158'"
"2356","OTU656",507,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2503","OTU811",507,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"1842","OTU422",505,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1983","OTU4464",501,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","g:Kamienskia","s:Kamienskia_divaricata_SH1561105.08FU","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2454","OTU758",500,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Chaetothyriales","f:Herpotrichiellaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2311","OTU610",498,"d:Fungi","p:Glomeromycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2435","OTU739",498,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2363","OTU663",496,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2412","OTU716",492,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1305","OTU313",491,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Hypocreales","f:Nectriaceae","UNKNOWN","UNKNOWN","Hypocreales","7","Saprotroph","Undefined Saprotroph","Microfungus","NULL","Possible","NULL","b'Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158'"
"1399","OTU3344",491,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1550","OTU3643",491,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2403","OTU708",490,"d:Fungi","p:Ascomycota","c:Dothideomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2580","OTU897",488,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2343","OTU643",487,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Coniochaetales","f:Coniochaetaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2373","OTU675",486,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2348","OTU649",480,"d:Fungi","p:Ascomycota","c:Dothideomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1223","OTU296",475,"d:Fungi","p:Ascomycota","c:Pezizomycetes","o:Pezizales","f:Pyronemataceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"49","OTU1063",472,"d:Fungi","p:Ascomycota","c:Pezizomycetes","o:Pezizales","f:Pyronemataceae","g:Lasiobolidium","s:Lasiobolidium_spirale_SH1177760.08FU","Lasiobolidium","13","Saprotroph","Dung Saprotroph-Undefined Saprotroph","NULL","NULL","Highly Probable","NULL","b'Bills GF, et al. 2013. Current Opinion in microbiology, 16:549-565; Tedersoo L, et al. 2014. Science 346:1256688'"
"2507","OTU817",472,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"1613","OTU377",471,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Eurotiales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1967","OTU444",471,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2382","OTU685",471,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2195","OTU499",470,"d:Fungi","p:Ascomycota","c:Pezizomycetes","o:Pezizales","f:Pezizaceae","g:Iodophanus","UNKNOWN","Pezizaceae","9","Saprotroph-Symbiotroph","Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph","Pezizoid","NULL","Possible","Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"2342","OTU641",468,"d:Fungi","p:Ascomycota","c:Saccharomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2376","OTU678",465,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2538","OTU848",463,"d:Fungi","p:Ascomycota","c:Pezizomycetes","o:Pezizales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2371","OTU671",461,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Xylariales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2381","OTU684",458,"d:Fungi","p:Ascomycota","c:Saccharomycetes","o:Saccharomycetales","f:Saccharomycetales_fam_Incertae_sedis","g:Candida","s:Candida_tropicalis_SH1234086.08FU","Saccharomycetales","7","Saprotroph","Undefined Saprotroph","Yeast","NULL","Possible","NULL","b'Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158'"
"614","OTU1851",456,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","g:Kamienskia","s:Kamienskia_divaricata_SH1561105.08FU","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"1837","OTU421",456,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2426","OTU730",456,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2570","OTU888",452,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1306","OTU3133",451,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"1431","OTU3402",451,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Sporormiaceae","g:Sporormia","UNKNOWN","Sporormiaceae","9","Saprotroph","Dung Saprotroph-Plant Saprotroph","Microfungus","NULL","Probable","Saprobic, associated with dung and rotting vegetation (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"1246","OTU2997",447,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Sebacinales","f:Sebacinaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"357","OTU1473",439,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","g:Funneliformis","UNKNOWN","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"1515","OTU3579",437,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2410","OTU714",435,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2276","OTU577",434,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Eurotiales","f:Aspergillaceae","g:Aspergillus","UNKNOWN","Eurotiales","7","Saprotroph","Undefined Saprotroph","Microfungus","NULL","Possible","NULL","b'Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158'"
"2301","OTU600",432,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Hypocreales","f:Bionectriaceae","g:Clonostachys","UNKNOWN","Hypocreales","7","Saprotroph","Undefined Saprotroph","Microfungus","NULL","Possible","NULL","b'Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158'"
"2370","OTU670",432,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2384","OTU688",432,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Magnaporthales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2395","OTU699",429,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Hypocreales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2451","OTU754",428,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2424","OTU728",427,"d:Fungi","p:Ascomycota","c:Dothideomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2432","OTU736",427,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Cantharellales","f:Tulasnellaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"28","OTU1033",425,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2393","OTU697",424,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"1481","OTU350",423,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Chaetothyriales","f:Herpotrichiellaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1505","OTU3559",423,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
