#SampleID	funct_grp	site	host_sp	rep
fungi.Ecotone.LATR.7	fungi	Ecotone	LATR	7
fungi.Ecotone.LATR.8	fungi	Ecotone	LATR	8
fungi.Ecotone.PLJA.1	fungi	Ecotone	PLJA	1
fungi.Ecotone.PLJA.2	fungi	Ecotone	PLJA	2
fungi.Ecotone.PLJA.3	fungi	Ecotone	PLJA	3
fungi.Ecotone.PLJA.4	fungi	Ecotone	PLJA	4
fungi.Ecotone.PLJA.5	fungi	Ecotone	PLJA	5
fungi.Ecotone.PLJA.6	fungi	Ecotone	PLJA	6
fungi.Ecotone.PLJA.7	fungi	Ecotone	PLJA	7
fungi.Ecotone.PLJA.8	fungi	Ecotone	PLJA	8
fungi.Grass.BOER.1	fungi	Grass	BOER	1
fungi.Grass.BOER.2	fungi	Grass	BOER	2
fungi.Grass.BOER.3	fungi	Grass	BOER	3
fungi.Grass.BOER.4	fungi	Grass	BOER	4
fungi.Grass.BOER.5	fungi	Grass	BOER	5
fungi.Grass.BOER.6	fungi	Grass	BOER	6
fungi.Grass.BOER.7	fungi	Grass	BOER	7
fungi.Grass.BOER.8	fungi	Grass	BOER	8
fungi.Grass.BOGR.1	fungi	Grass	BOGR	1
fungi.Grass.BOGR.2	fungi	Grass	BOGR	2
fungi.Grass.BOGR.3	fungi	Grass	BOGR	3
fungi.Grass.BOGR.4	fungi	Grass	BOGR	4
fungi.Grass.BOGR.5	fungi	Grass	BOGR	5
fungi.Grass.BOGR.6	fungi	Grass	BOGR	6
fungi.Grass.BOGR.7	fungi	Grass	BOGR	7
fungi.Grass.BOGR.8	fungi	Grass	BOGR	8
fungi.Grass.PLJA.1	fungi	Grass	PLJA	1
fungi.Grass.PLJA.2	fungi	Grass	PLJA	2
fungi.Grass.PLJA.3	fungi	Grass	PLJA	3
fungi.Grass.PLJA.4	fungi	Grass	PLJA	4
fungi.Grass.PLJA.5	fungi	Grass	PLJA	5
fungi.Grass.PLJA.6	fungi	Grass	PLJA	6
fungi.Grass.PLJA.7	fungi	Grass	PLJA	7
fungi.Grass.PLJA.8	fungi	Grass	PLJA	8
fungi.SPEGAR.ARPU.1A	fungi	SPEGAR	ARPU	1A
fungi.SPEGAR.ARPU.1B	fungi	SPEGAR	ARPU	1B
fungi.SPEGAR.ARPU.2A	fungi	SPEGAR	ARPU	2A
fungi.SPEGAR.ARPU.2B	fungi	SPEGAR	ARPU	2B
fungi.SPEGAR.ARPU.3A	fungi	SPEGAR	ARPU	3A
fungi.SPEGAR.ARPU.3B	fungi	SPEGAR	ARPU	3B
fungi.SPEGAR.ARPU.4A	fungi	SPEGAR	ARPU	4A
fungi.SPEGAR.ARPU.4B	fungi	SPEGAR	ARPU	4B
fungi.SPEGAR.BOER.1A	fungi	SPEGAR	BOER	1A
fungi.SPEGAR.BOER.1B	fungi	SPEGAR	BOER	1B
fungi.SPEGAR.BOER.2A	fungi	SPEGAR	BOER	2A
fungi.SPEGAR.BOER.2B	fungi	SPEGAR	BOER	2B
fungi.SPEGAR.BOER.3A	fungi	SPEGAR	BOER	3A
fungi.SPEGAR.BOER.3B	fungi	SPEGAR	BOER	3B
fungi.SPEGAR.BOER.4A	fungi	SPEGAR	BOER	4A
fungi.SPEGAR.BOER.4B	fungi	SPEGAR	BOER	4B
fungi.SPEGAR.BOGR.1A	fungi	SPEGAR	BOGR	1A
fungi.SPEGAR.BOGR.1B	fungi	SPEGAR	BOGR	1B
fungi.SPEGAR.BOGR.2A	fungi	SPEGAR	BOGR	2A
fungi.SPEGAR.BOGR.2B	fungi	SPEGAR	BOGR	2B
fungi.SPEGAR.BOGR.3A	fungi	SPEGAR	BOGR	3A
fungi.SPEGAR.BOGR.3B	fungi	SPEGAR	BOGR	3B
fungi.SPEGAR.BOGR.4A	fungi	SPEGAR	BOGR	4A
fungi.SPEGAR.BOGR.4B	fungi	SPEGAR	BOGR	4B
fungi.SPEGAR.PLJA.1A	fungi	SPEGAR	PLJA	1A
fungi.SPEGAR.PLJA.1B	fungi	SPEGAR	PLJA	1B
fungi.SPEGAR.PLJA.2A	fungi	SPEGAR	PLJA	2A
fungi.SPEGAR.PLJA.2B	fungi	SPEGAR	PLJA	2B
fungi.SPEGAR.PLJA.3A	fungi	SPEGAR	PLJA	3A
fungi.SPEGAR.PLJA.3B	fungi	SPEGAR	PLJA	3B
fungi.SPEGAR.PLJA.4A	fungi	SPEGAR	PLJA	4A
fungi.SPEGAR.PLJA.4B	fungi	SPEGAR	PLJA	4B
fungi.Shrub.LATR.1	fungi	Shrub	LATR	1
fungi.Shrub.LATR.3	fungi	Shrub	LATR	3
fungi.Shrub.LATR.4	fungi	Shrub	LATR	4
fungi.Shrub.LATR.5	fungi	Shrub	LATR	5
fungi.Shrub.LATR.6	fungi	Shrub	LATR	6
fungi.Shrub.LATR.7	fungi	Shrub	LATR	7
fungi.Shrub.LATR.8	fungi	Shrub	LATR	8
fungi.Shurb.LATR.2	fungi	Shurb	LATR	2
fungi.mock1	fungi	mock		1
fungi.mock2	fungi	mock		2
