"","variable","Guild_comb","value","site","SoilProcessID","SAND","SILT","CLAY","pH","P_ppm","K_ppm","OM_percent","NO3_N_ppm","Site","Species","Replicate","NAG_soil","NAG_OM","AlkP_soil","AlkP_OM","AAP_soil","AAP_OM","BG_soil","BG_OM","sampleID","project","Location","Spp","Rep","site_spp"
"19","fungi.Ecotone.BOER.5","Plant Pathogen",35.6862640272549,"Ecotone_BOER_5",69,63.2,20,16.8,8.4,0,167,0.8,1.2,"E","Boer",5,7.44,408.56,61.17,3359.34,"140.05","7691.63",79.78,4381.76,"fungi.Ecotone.BOER.5","transitions","Ecotone","BOER",5,"E.Boer"
"20","fungi.Ecotone.BOER.5","Saprotroph",98.4838445694614,"Ecotone_BOER_5",69,63.2,20,16.8,8.4,0,167,0.8,1.2,"E","Boer",5,7.44,408.56,61.17,3359.34,"140.05","7691.63",79.78,4381.76,"fungi.Ecotone.BOER.5","transitions","Ecotone","BOER",5,"E.Boer"
"21","fungi.Ecotone.BOER.6","Arbuscular Mycorrhizal",168.607664923438,"Ecotone_BOER_6",70,67.2,18,14.8,8.5,1,144,0.8,1.1,"E","Boer",6,3.57,249.49,38.32,2674.93,"91.05","6355.4",45.46,3173.16,"fungi.Ecotone.BOER.6","transitions","Ecotone","BOER",6,"E.Boer"
"22","fungi.Ecotone.BOER.6","Endophyte",21.97547560093,"Ecotone_BOER_6",70,67.2,18,14.8,8.5,1,144,0.8,1.1,"E","Boer",6,3.57,249.49,38.32,2674.93,"91.05","6355.4",45.46,3173.16,"fungi.Ecotone.BOER.6","transitions","Ecotone","BOER",6,"E.Boer"
"23","fungi.Ecotone.BOER.6","Plant Pathogen",59.8825347955118,"Ecotone_BOER_6",70,67.2,18,14.8,8.5,1,144,0.8,1.1,"E","Boer",6,3.57,249.49,38.32,2674.93,"91.05","6355.4",45.46,3173.16,"fungi.Ecotone.BOER.6","transitions","Ecotone","BOER",6,"E.Boer"
"24","fungi.Ecotone.BOER.6","Saprotroph",139.17555901636,"Ecotone_BOER_6",70,67.2,18,14.8,8.5,1,144,0.8,1.1,"E","Boer",6,3.57,249.49,38.32,2674.93,"91.05","6355.4",45.46,3173.16,"fungi.Ecotone.BOER.6","transitions","Ecotone","BOER",6,"E.Boer"
"25","fungi.Ecotone.BOER.7","Arbuscular Mycorrhizal",114.203405942806,"Ecotone_BOER_7",71,59.2,20,20.8,8.5,0,184,1,1.4,"E","Boer",7,6.86,353.72,52.46,2704.61,"200.06","10315.07",49.5,2551.98,"fungi.Ecotone.BOER.7","transitions","Ecotone","BOER",7,"E.Boer"
"26","fungi.Ecotone.BOER.7","Endophyte",31.6618707877275,"Ecotone_BOER_7",71,59.2,20,20.8,8.5,0,184,1,1.4,"E","Boer",7,6.86,353.72,52.46,2704.61,"200.06","10315.07",49.5,2551.98,"fungi.Ecotone.BOER.7","transitions","Ecotone","BOER",7,"E.Boer"
"27","fungi.Ecotone.BOER.7","Plant Pathogen",71.4746570852064,"Ecotone_BOER_7",71,59.2,20,20.8,8.5,0,184,1,1.4,"E","Boer",7,6.86,353.72,52.46,2704.61,"200.06","10315.07",49.5,2551.98,"fungi.Ecotone.BOER.7","transitions","Ecotone","BOER",7,"E.Boer"
"28","fungi.Ecotone.BOER.7","Saprotroph",176.634166378663,"Ecotone_BOER_7",71,59.2,20,20.8,8.5,0,184,1,1.4,"E","Boer",7,6.86,353.72,52.46,2704.61,"200.06","10315.07",49.5,2551.98,"fungi.Ecotone.BOER.7","transitions","Ecotone","BOER",7,"E.Boer"
