OTU,PROTAX
OTU86,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Montagnulaceae,Pseudocamarosporium_550556,unk"
OTU128,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe_17357,unk"
OTU95,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Zopfiella_5876,unk"
OTU77,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma_17553,unk"
OTU33,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Leptosphaeria_2800,unk"
OTU87,"Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Gibberella_2058,Gibberella_avenacea_331316"
OTU166,"Fungi,Ascomycota,unk"
OTU99,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Leptosphaeria_2800,unk"
OTU84,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus_346,unk"
OTU4136,
OTU88,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lepiota_17938,unk"
OTU116,"Fungi,Basidiomycota,Agaricomycetes,Russulales,Stephanosporaceae,Lindtneria_17983,unk"
OTU68,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora_4284,unk"
OTU167,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Volvariella_18737,unk"
OTU188,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Sporormia_5169,unk"
OTU76,"Fungi,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,Trichophyton_10292,unk"
OTU67,"Fungi,Ascomycota,unk"
OTU98,"Fungi,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Monosporascus_3260,unk"
OTU126,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus_20244,unk"
OTU56,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora_4284,unk"
OTU147,"Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Corticium_17387,unk"
OTU165,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Crepidotus_17403,unk"
OTU182,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora_4284,unk"
OTU75,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium_953,unk"
OTU180,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus_20244,unk"
OTU133,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lepiota_17938,unk"
OTU228,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora_4284,unk"
OTU94,"Fungi,Ascomycota,unk"
OTU251,"Fungi,Ascomycota,unk"
OTU145,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lycoperdon_19207,unk"
OTU120,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Sporormiella_5170,unk"
OTU89,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza_3859,unk"
OTU144,"Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium_17260,unk"
