"","Row.names","OTU","average","av_Ecotone","av_Grassland","pval","Domain","Phylum","Class","Order","Family","Genus","Species","taxonomy","Taxon","Taxon.Level","Trophic.Mode","Guild","Growth.Morphology","Trait","Confidence.Ranking","Notes","Citation.Source"
"62","OTU3531","OTU3531",0.00026838549098416,1.124709455125,0,0.0369,"d:Fungi","p:Glomeromycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Glomeromycota","-","-","-","-","-","-","-","Unassigned","-"
"63","OTU3670","OTU3670",0.000449408196963912,2.14983395725,0,0.0397,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales","-","-","-","-","-","-","-","Unassigned","-"
"64","OTU3709","OTU3709",0.000448592289929283,2.163379525,0.333072347625,0.0287,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales","-","-","-","-","-","-","-","Unassigned","-"
"65","OTU371","OTU371",0.00064984312998644,2.816477463,0.352655444875,0.0316,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Sordariales","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales","-","-","-","-","-","-","-","Unassigned","-"
"66","OTU3745","OTU3745",0.000767431199042376,3.541990814625,0.575237304,0.0192,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Claroideoglomeraceae","g:Claroideoglomus","UNKNOWN","d:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Claroideoglomeraceae,g:Claroideoglomus","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"67","OTU378","OTU378",0.000783622958729174,3.715387526125,0.349493962375,0.0042,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Eurotiales","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales","-","-","-","-","-","-","-","Unassigned","-"
"68","OTU3789","OTU3789",0.000229564480879899,1.004124882125,0,0.0343,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"69","OTU3815","OTU3815",7.28500367153073e-05,4.739948647,4.439499582375,0.0102,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"70","OTU3820","OTU3820",0.000480038020793358,2.194212227,0,0.0112,"d:Fungi","p:Ascomycota","c:Ascomycota_cls_Incertae_sedis","o:Ascomycota_ord_Incertae_sedis","f:Ascomycota_fam_Incertae_sedis","g:Acrophialophora","UNKNOWN","d:Fungi,p:Ascomycota,c:Ascomycota_cls_Incertae_sedis,o:Ascomycota_ord_Incertae_sedis,f:Ascomycota_fam_Incertae_sedis,g:Acrophialophora","-","-","-","-","-","-","-","Unassigned","-"
"71","OTU384","OTU384",0.000738480536597585,3.23937565875,0.321296672,0.0339,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"72","OTU385","OTU385",0.000914166674416491,4.309006144125,0.54140559175,0.0141,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"73","OTU3904","OTU3904",0.000254502548949389,1.08866647975,0,0.0228,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales","-","-","-","-","-","-","-","Unassigned","-"
"74","OTU392","OTU392",0.000780991972459914,3.6262903565,0.411926843375,0.0174,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Pleosporaceae","g:Curvularia","UNKNOWN","d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Curvularia","Pleosporaceae","9","Pathotroph-Saprotroph","Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Probable","Necrotrophic pathogens and saprobes, especially associated with grasses. Many species are seed-borne (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; David AS, et al. 2016. Microbial Ecology 71:912-926; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]'"
"75","OTU3976","OTU3976",0.000669930802818485,2.958223261875,0,0.0081,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Claroideoglomeraceae","g:Claroideoglomus","UNKNOWN","d:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Claroideoglomeraceae,g:Claroideoglomus","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"76","OTU403","OTU403",0.00136506922630204,6.7343804085,0.885467572875,0.0016,"d:Fungi","p:Glomeromycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Glomeromycota","-","-","-","-","-","-","-","Unassigned","-"
"77","OTU4094","OTU4094",0.00111530491124,5.004928419625,0,0.0023,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"78","OTU4109","OTU4109",0.000468032363499015,2.818566912875,1.035221754875,0.006,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"79","OTU4112","OTU4112",0.000607797199710342,0,2.637891681625,0.0139,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","d:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"80","OTU413","OTU413",0.00110519590899813,6.00841466675,1.64687739875,0.0058,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales","Glomeromycota","3","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
