OTU,fungi.Grass.BOGR.1,fungi.mock2,fungi.Ecotone.LATR.8,fungi.SPEGAR.PLJA.4B,fungi.SPEGAR.BOER.4A,fungi.Ecotone.PLJA.8,fungi.Ecotone.PLJA.1,fungi.SPEGAR.PLJA.3A,fungi.Grass.BOER.4,fungi.SPEGAR.ARPU.2A,fungi.SPEGAR.PLJA.2B,fungi.Grass.BOER.7,fungi.SPEGAR.BOER.1A,fungi.SPEGAR.BOGR.3B,fungi.Ecotone.LATR.5,fungi.SPEGAR.BOER.2B,fungi.Grass.PLJA.6,fungi.Shrub.LATR.8,fungi.SPEGAR.PLJA.1A,fungi.SPEGAR.BOER.4B,fungi.Grass.BOGR.7,fungi.Ecotone.BOER.4,fungi.Ecotone.BOER.7,fungi.Ecotone.PLJA.5,fungi.Ecotone.LATR.4,fungi.SPEGAR.ARPU.1A,fungi.SPEGAR.BOGR.2B,fungi.SPEGAR.BOGR.1B,fungi.SPEGAR.ARPU.1B,fungi.Grass.PLJA.5,fungi.Grass.PLJA.1,fungi.Grass.BOGR.4,fungi.SPEGAR.ARPU.4A,fungi.Ecotone.PLJA.3,fungi.Shrub.LATR.3,fungi.Grass.BOGR.5,fungi.SPEGAR.PLJA.4A,fungi.SPEGAR.BOER.2A,fungi.Ecotone.BOER.3,fungi.Ecotone.BOER.8,fungi.Ecotone.LATR.6,fungi.Grass.BOER.6,fungi.Grass.PLJA.2,fungi.Shrub.LATR.7,fungi.Shrub.LATR.5,fungi.SPEGAR.ARPU.3B,fungi.SPEGAR.BOER.1B,fungi.Grass.BOER.5,fungi.Ecotone.LATR.2,fungi.SPEGAR.BOGR.4B,fungi.Ecotone.LATR.3,fungi.SPEGAR.ARPU.2B,fungi.Shrub.LATR.6,fungi.Ecotone.BOER.2,fungi.Ecotone.LATR.7,fungi.Ecotone.PLJA.7,fungi.SPEGAR.ARPU.4B,fungi.SPEGAR.BOGR.3A,fungi.SPEGAR.PLJA.3B,fungi.Grass.BOGR.3,fungi.Shrub.LATR.2,fungi.SPEGAR.PLJA.2A,fungi.Shrub.LATR.4,fungi.Ecotone.BOER.1,fungi.Ecotone.BOER.5,fungi.Grass.PLJA.7,fungi.SPEGAR.BOER.3B,fungi.Grass.BOER.2,fungi.SPEGAR.BOGR.2A,fungi.Grass.BOGR.8,fungi.Grass.BOGR.6,fungi.Ecotone.BOER.6,fungi.Grass.PLJA.8,fungi.SPEGAR.PLJA.1B,fungi.Grass.BOGR.2,fungi.mock1,fungi.Grass.BOER.8,fungi.Grass.PLJA.3,fungi.SPEGAR.BOGR.4A,fungi.Shrub.LATR.1,fungi.SPEGAR.BOGR.1A,fungi.Grass.BOER.3,fungi.Ecotone.LATR.1,fungi.Ecotone.PLJA.6,fungi.Ecotone.PLJA.2,fungi.Grass.BOER.1,fungi.SPEGAR.BOER.3A,fungi.Ecotone.PLJA.4,fungi.Grass.PLJA.4,fungi.SPEGAR.ARPU.3A
OTU1026,0,0,0,0,4.633701855,0,0,0,0,4.837695036,0,0,0,0,0,0,0,0,0,3.665087517,0,0,0,0,0,0,0,4.490955628,0,0,0,0,0,0,0,0,6.761624362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU23,0,2.444120493,2.338608351,2.253739166,0,0,0,10.16229258,2.516787072,2.320253439,27.83036342,3.574236969,8.748925664,0,2.325986005,0,2.900189257,0,15.18967545,0,0,2.78252357,0,0,2.330774884,2.34450668,0,7.50464231,2.194643147,0,0,4.266248327,0,2.311343213,2.398681599,0,5.851586135,0,0,15.4875788,0,0,0,0,2.443189063,0,0,3.156678067,3.211424472,0,0,2.371426436,2.647014025,0,12.40657017,0,0,2.811458532,6.964549453,2.577953089,2.913509397,10.4486256,2.832242309,0,0,0,12.52375581,2.821243559,0,2.646548042,0,2.7839874,0,0,3.132756044,0,0,0,2.443763234,0,3.782415808,0,0,2.350999116,0,0,13.0578895,0,2.657177521,0
OTU526,7.703211513,0,6.736286778,2.70724102,2.508322536,7.298850725,2.281955134,0,2.994576949,4.978538778,3.287598732,11.93967652,0,8.616413278,0,3.857442933,9.018756368,0,4.534198864,0,5.858809493,4.656993579,12.55354972,0,0,4.0525286,0,3.985779055,5.232976788,5.564329543,0,0,0,2.770031289,0,0,7.57245587,3.118503703,6.866375676,8.462040451,4.150100587,0,9.518983384,2.645475258,6.378626847,0,2.024802202,3.156678067,7.018332255,0,10.88276552,2.371426436,0,0,5.226944025,14.97597004,8.948948688,3.317919918,5.390868732,0,0,0,0,2.538374853,10.49822927,6.201924194,3.897588961,6.920187342,3.415699106,5.399244237,10.06954014,12.1703034,4.146405759,4.891456092,0,2.646233197,6.977219188,3.988395682,0,5.219685027,2.281173526,6.541850773,0,2.350999116,6.026834102,10.56467714,0,0,0,3.481472823
OTU1,5.200450242,3.211424472,2.338608351,9.396306684,4.354613689,2.787017932,2.281955134,3.478017526,2.516787072,13.34477503,5.247904492,0,20.10821409,17.71015685,2.325986005,2.424563657,5.242097685,2.591670418,11.8948292,7.060354309,7.720528509,5.481935535,7.981614662,8.410247679,7.062775804,2.34450668,5.470675599,5.160247194,5.5014113,8.956647479,0,2.744774742,18.34385078,3.272447974,16.44565446,9.751649357,14.31311092,6.712720063,2.939503314,0,3.399821419,3.394103761,9.068063146,2.645475258,3.210348311,6.709705525,20.62676889,3.695639154,3.755292797,19.31345665,4.387846694,3.127479381,2.198435809,6.800196474,10.55183027,3.072083444,8.975000413,22.36281767,6.718486366,5.258590081,4.413839519,9.037289905,2.832242309,3.018232371,0,6.691907815,6.014945109,7.650183834,14.184927,6.963537623,5.506236565,3.604258274,13.97765121,26.51366759,9.258388196,0,2.570373376,5.886423972,2.914643084,9.102383402,10.23702337,6.395557151,2.889604284,6.249646333,4.565570375,18.02596527,5.630749252,23.55122097,14.85052153,7.47529595
OTU935,0,0,0,0,0,0,6.360309061,0,0,0,7.284057706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.591723034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU50,2.565004248,0,0,2.70724102,0,2.075283473,0,2.338785316,0,0,0,0,0,0,18.81970714,0,0,0,0,0,0,1.900203627,0,2.340262344,0,2.34450668,0,0,0,2.483816605,0,0,0,0,2.398681599,0,2.523117278,0,0,2.698359713,0,0,4.230494351,0,0,0,0,0,0,0,3.349884403,0,0,0,0,0,0,0,0,0,2.44272663,2.957871494,0,2.538374853,4.901326523,0,0,0,0,0,0,0,0,2.262507377,3.132756044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU218,6.334070121,2.444120493,0,0,0,0,0,0,6.654247616,0,4.025153163,7.755033763,0,6.608691971,0,8.853214373,0,0,0,0,0,5.80894862,6.575928422,7.865846498,0,7.06972155,0,0,0,4.934996079,0,5.46772827,4.28401077,6.857048736,0,7.573303943,0,7.640395065,9.134233494,0,0,7.147364369,8.400904749,0,0,2.444120493,4.468803507,0,0,10.05777021,0,0,0,0,0,2.323402035,6.549458324,8.087791873,0,7.769322031,2.44272663,0,0,0,2.700747738,8.151150033,3.102689357,7.038584653,0,9.146802096,5.338930826,0,0,0,7.697007145,0,3.582826654,2.629634975,6.312477663,0,8.768687862,6.74696721,2.889604284,0,0,3.587341704,0,7.824492951,8.241729498,0
OTU117,0,0,7.474423906,7.78050671,7.981614662,0,9.017358812,0,7.707754019,0,0,5.26173647,0,0,6.886761737,0,9.996217238,4.972626932,0,0,0,0,7.801547581,0,6.58254189,2.34450668,3.040898173,0,0,0,0,0,0,7.589871247,0,0,5.807427098,0,7.343502537,8.494102133,7.477771806,7.48900528,7.767378155,5.886977632,0,0,0,6.744150494,0,3.511018047,0,5.423301951,2.647014025,0,5.170541912,8.952714303,2.835484717,0,4.646281097,5.530670847,0,0,9.129759502,2.538374853,0,7.082808391,4.498353833,0,8.162918854,0,0,12.94976147,0,0,0,0,0,0,0,4.070907125,4.618797915,0,10.02188765,7.023481599,8.913645187,0,0,5.982026318,0,0
OTU69,0,0,0,7.933319041,0,5.352663181,6.062723889,6.78891612,0,0,2.783833148,2.757984061,5.317565392,10.42942589,0,7.639907296,2.900189257,12.57342456,8.179324722,7.592243928,0,0,0,2.340262344,4.775114887,4.981428858,6.273933337,6.263336679,5.804388672,0,0,2.744774742,6.044389629,0,10.02598604,0,8.070559498,4.86334971,0,5.017563073,0,0,0,8.751558227,7.737763823,4.415750279,2.024802202,0,0,5.906420548,2.840588477,4.749673551,7.689654382,0,8.664126162,6.070578738,4.08830841,8.605422089,9.779638408,0,6.839290963,0,7.859346779,6.040517754,0,0,4.456580224,0,8.386615107,0,2.582079002,0,2.755846235,0,3.132756044,0,2.570373376,0,2.914643084,0,8.227137313,0,0,4.353248501,5.923337432,0,2.622847012,0,0,6.4294718
OTU90,0,0,0,0,0,0,0,0,2.516787072,0,0,0,0,0,0,0,0,0,20.52840694,0,0,0,2.508322536,0,0,0,0,0,2.194643147,0,0,0,0,0,2.398681599,0,0,2.363648389,0,0,0,0,0,0,0,0,0,0,0,2.365578865,0,0,0,0,0,0,0,0,0,0,0,0,2.832242309,0,0,0,0,0,0,0,0,0,0,11.31884816,0,0,0,0,0,0,2.737137477,0,2.889604284,0,0,0,0,0,0,0
