"fungi.Grass.BOGR.1" "fungi.mock2" "fungi.Ecotone.LATR.8" "fungi.SPEGAR.PLJA.4B" "fungi.SPEGAR.BOER.4A" "fungi.Ecotone.PLJA.8" "fungi.Ecotone.PLJA.1" "fungi.SPEGAR.PLJA.3A" "fungi.Grass.BOER.4" "fungi.SPEGAR.ARPU.2A" "fungi.SPEGAR.PLJA.2B" "fungi.Grass.BOER.7" "fungi.SPEGAR.BOER.1A" "fungi.SPEGAR.BOGR.3B" "fungi.Ecotone.LATR.5" "fungi.SPEGAR.BOER.2B" "fungi.Grass.PLJA.6" "fungi.Shrub.LATR.8" "fungi.SPEGAR.PLJA.1A" "fungi.SPEGAR.BOER.4B" "fungi.Grass.BOGR.7" "fungi.Ecotone.BOER.4" "fungi.Ecotone.BOER.7" "fungi.Ecotone.PLJA.5" "fungi.Ecotone.LATR.4" "fungi.SPEGAR.ARPU.1A" "fungi.SPEGAR.BOGR.2B" "fungi.SPEGAR.BOGR.1B" "fungi.SPEGAR.ARPU.1B" "fungi.Grass.PLJA.5" "fungi.Grass.PLJA.1" "fungi.Grass.BOGR.4" "fungi.SPEGAR.ARPU.4A" "fungi.Ecotone.PLJA.3" "fungi.Shrub.LATR.3" "fungi.Grass.BOGR.5" "fungi.SPEGAR.PLJA.4A" "fungi.SPEGAR.BOER.2A" "fungi.Ecotone.BOER.3" "fungi.Ecotone.BOER.8" "fungi.Ecotone.LATR.6" "fungi.Grass.BOER.6" "fungi.Grass.PLJA.2" "fungi.Shrub.LATR.7" "fungi.Shrub.LATR.5" "fungi.SPEGAR.ARPU.3B" "fungi.SPEGAR.BOER.1B" "fungi.Grass.BOER.5" "fungi.Ecotone.LATR.2" "fungi.SPEGAR.BOGR.4B" "fungi.Ecotone.LATR.3" "fungi.SPEGAR.ARPU.2B" "fungi.Shrub.LATR.6" "fungi.Ecotone.BOER.2" "fungi.Ecotone.LATR.7" "fungi.Ecotone.PLJA.7" "fungi.SPEGAR.ARPU.4B" "fungi.SPEGAR.BOGR.3A" "fungi.SPEGAR.PLJA.3B" "fungi.Grass.BOGR.3" "fungi.Shurb.LATR.2" "fungi.SPEGAR.PLJA.2A" "fungi.Shrub.LATR.4" "fungi.Ecotone.BOER.1" "fungi.Ecotone.BOER.5" "fungi.Grass.PLJA.7" "fungi.SPEGAR.BOER.3B" "fungi.Grass.BOER.2" "fungi.SPEGAR.BOGR.2A" "fungi.Grass.BOGR.8" "fungi.Grass.BOGR.6" "fungi.Ecotone.BOER.6" "fungi.Grass.PLJA.8" "fungi.SPEGAR.PLJA.1B" "fungi.Grass.BOGR.2" "fungi.mock1" "fungi.Grass.BOER.8" "fungi.Grass.PLJA.3" "fungi.SPEGAR.BOGR.4A" "fungi.Shrub.LATR.1" "fungi.SPEGAR.BOGR.1A" "fungi.Grass.BOER.3" "fungi.Ecotone.LATR.1" "fungi.Ecotone.PLJA.6" "fungi.Ecotone.PLJA.2" "fungi.Grass.BOER.1" "fungi.SPEGAR.BOER.3A" "fungi.Ecotone.PLJA.4" "fungi.Grass.PLJA.4" "fungi.SPEGAR.ARPU.3A"
"OTU23" 0 1 1 1 0 0 0 1083 1 1 15505 3 844 0 1 0 3 0 4149 0 0 4 0 0 1 1 0 377 1 0 0 7 0 1 1 0 50 0 0 3205 0 0 0 0 1 0 0 2 2 0 0 1 2 0 1227 0 0 1 103 1 2 978 1 0 0 0 3367 2 0 1 0 1 0 0 1 0 0 0 1 0 8 0 0 1 0 0 1952 0 1 0
"OTU526" 203 0 142 2 1 332 1 0 2 29 2 1132 0 275 0 7 815 0 14 0 26 41 1996 0 0 10 0 14 46 81 0 0 0 2 0 0 198 3 129 267 5 0 780 1 90 0 1 2 100 0 687 1 0 0 18 5053 287 2 26 0 0 0 0 1 721 77 11 159 2 27 716 1176 6 29 0 1 120 6 0 21 1 61 0 1 56 447 0 0 0 1
"OTU1" 25 3 1 869 11 3 1 5 1 3364 19 0 19538 4670 1 1 48 1 1682 173 113 96 265 446 185 1 33 51 60 969 0 1 5057 4 6146 537 3169 134 2 0 2 3 622 1 3 118 22448 4 4 10679 7 3 1 116 632 3 291 8352 85 26 13 506 1 2 0 116 101 269 1767 106 33 3 2062 30205 223 0 1 44 2 381 1225 54 1 93 13 3146 35 18049 2950 49
"OTU935" 0 0 0 0 0 0 114 0 0 0 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU50" 1 0 0 2 0 1 0 1 0 0 0 0 0 0 10512 0 0 0 0 0 0 1 0 1 0 1 0 0 0 2 0 0 0 0 1 0 1 0 0 1 0 0 12 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 2 0 1 15 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU218" 72 1 0 0 0 0 0 0 101 0 5 158 0 70 0 502 0 0 0 0 0 131 96 319 0 182 0 0 0 43 0 25 7 163 0 157 0 265 546 0 0 130 430 0 0 1 27 0 0 992 0 0 0 0 0 1 58 181 0 208 1 0 0 0 1 324 4 174 0 419 28 0 0 0 90 0 4 1 85 0 600 72 1 0 0 2 0 287 249 0
"OTU117" 0 0 246 346 265 0 685 0 219 0 0 20 0 0 163 0 1309 19 0 0 0 0 236 0 127 1 2 0 0 0 0 0 0 278 0 0 48 0 184 272 109 166 290 43 0 0 0 87 0 5 0 42 2 0 17 620 1 0 12 34 0 0 317 1 0 157 22 0 167 0 0 1494 0 0 0 0 0 0 0 6 21 0 448 174 426 0 0 69 0 0
"OTU69" 0 0 0 382 0 63 88 148 0 0 1 1 62 663 0 241 3 1771 312 253 0 0 0 1 23 28 69 144 80 0 0 1 42 0 929 0 274 24 0 17 0 0 0 340 250 13 1 0 0 67 1 21 356 0 256 83 5 246 554 0 131 0 152 58 0 0 21 0 191 0 1 0 1 0 1 0 1 0 2 0 439 0 0 14 51 0 1 0 0 22
"OTU90" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 10676 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1936 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0
"OTU13" 1 0 0 1 0 0 8543 0 0 0 1 1 2 0 23655 1 3 0 0 1 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 1 1 3 0 0 0 0 1 1 0 0 970 1 1 0 0 0 0 0
