	Domain	Phylum	Class	Order	Family	Genus	Species
OTU42	d:Fungi	p:Basidiomycota	c:Agaricomycetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU43	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU44	d:Fungi	p:Mucoromycota	c:Mucoromycetes	o:Mucorales	f:Rhizopodaceae	g:Rhizopus	UNKNOWN
OTU45	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Tulostoma	UNKNOWN
OTU46	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Cantharellales	f:Ceratobasidiaceae	UNKNOWN	UNKNOWN
OTU47	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Bolbitiaceae	g:Conocybe	s:Conocybe_deliquescens_SH179179.07FU
OTU48	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU49	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	UNKNOWN	UNKNOWN	UNKNOWN
OTU50	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Helotiaceae	g:Scytalidium	s:Scytalidium_cuboideum_SH211364.07FU
OTU51	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	UNKNOWN	UNKNOWN
OTU52	d:Fungi	p:Ascomycota	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU53	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU54	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	UNKNOWN	UNKNOWN
OTU55	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Alternaria	s:Alternaria_eichhorniae_SH215493.07FU
OTU56	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	UNKNOWN	UNKNOWN
OTU57	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Aspergillus	s:Aspergillus_fumigatiaffinis_SH449475.07FU
OTU58	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	UNKNOWN	UNKNOWN
OTU59	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	UNKNOWN	UNKNOWN	UNKNOWN
OTU60	d:Fungi	p:Ascomycota	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU61	d:Fungi	p:Ascomycota	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU62	d:Fungi	p:Ascomycota	c:Dothideomycetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU63	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Geastrales	f:Geastraceae	g:Geastrum	s:Geastrum_minimum_SH523782.07FU
OTU64	d:Fungi	p:Ascomycota	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU65	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU66	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	UNKNOWN	UNKNOWN	UNKNOWN
OTU67	d:Fungi	p:Ascomycota	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU68	d:Fungi	p:Ascomycota	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU69	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Dictyosporiaceae	g:Dictyosporium	s:Dictyosporium_heptasporum_SH016883.07FU
OTU70	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Onygenales	UNKNOWN	UNKNOWN	UNKNOWN
OTU71	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Bolbitiaceae	g:Conocybe	UNKNOWN
OTU72	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Bolbitiaceae	g:Conocybe	s:Conocybe_sabulicola_SH176633.07FU
OTU73	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Penicillium	s:Penicillium_roqueforti_SH490454.07FU
OTU74	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Xylariales	f:Xylariaceae	g:Arthroxylaria	UNKNOWN
OTU75	d:Fungi	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU76	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Onygenales	UNKNOWN	UNKNOWN	UNKNOWN
OTU77	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Entolomataceae	g:Entoloma	UNKNOWN
OTU78	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Aspergillus	s:Aspergillus_albertensis_SH293654.07FU
OTU79	d:Fungi	p:Ascomycota	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU80	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	UNKNOWN	UNKNOWN	UNKNOWN
OTU81	d:Fungi	p:Mortierellomycota	c:Mortierellomycetes	o:Mortierellales	f:Mortierellaceae	g:Mortierella	UNKNOWN
OTU82	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Saccharomycetales_fam_Incertae_sedis	g:Candida	s:Candida_albicans_SH194547.07FU
OTU83	d:Fungi	p:Ascomycota	c:Dothideomycetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU84	d:Fungi	p:Ascomycota	c:Pezizomycetes	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
OTU85	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Chaetosphaeriales	f:Chaetosphaeriaceae	g:Dinemasporium	s:Dinemasporium_parastrigosum_SH531352.07FU
