	Domain	Phylum	Class	Order	Family	Genus	Species	Species_confidence
OTU2071	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Lophiostomataceae	g:Sigarispora	s:Sigarispora_arundinis_SH180715.07FU	0.71
OTU571	d:Fungi	p:Ascomycota	c:Ascomycota_cls_Incertae_sedis	o:Ascomycota_ord_Incertae_sedis	f:Ascomycota_fam_Incertae_sedis	g:Stanjemonium	s:Stanjemonium_ochroroseum_SH295740.07FU	0.72
OTU3246	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Helotiales_fam_Incertae_sedis	g:Cadophora	s:Cadophora_finlandica_SH214265.07FU	0.72
OTU2026	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Trichomeriaceae	g:Arthrocladium	s:Arthrocladium_caudatum_SH492534.07FU	0.72
OTU3384	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Trichosporonales	f:Trichosporonaceae	g:Trichosporon	s:Trichosporon_middelhovenii_SH104375.07FU	0.72
OTU3431	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Magnaporthales	f:Magnaporthaceae	g:Budhanggurabania	s:Budhanggurabania_cynodonticola_SH212832.07FU	0.72
OTU313	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae	g:Fusarium	s:Fusarium_brachygibbosum_SH031271.07FU	0.72
OTU1190	d:Fungi	p:Calcarisporiellomycota	c:Calcarisporiellomycetes	o:Calcarisporiellales	f:Calcarisporiellaceae	g:Calcarisporiella	s:Calcarisporiella_thermophila_SH029325.07FU	0.72
OTU2482	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Glomerellales	f:Plectosphaerellaceae	g:Lectera	s:Lectera_longa_SH174362.07FU	0.72
OTU2869	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreales_fam_Incertae_sedis	g:Acremonium	s:Acremonium_fusidioides_SH203375.07FU	0.72
OTU2142	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Xylariales	f:Xylariales_fam_Incertae_sedis	g:Liberomyces	s:Liberomyces_saliciphilus_SH205319.07FU	0.73
OTU1335	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Trichomeriaceae	g:Arthrocladium	s:Arthrocladium_caudatum_SH492534.07FU	0.73
OTU1318	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Herpotrichiellaceae	g:Cladophialophora	s:Cladophialophora_chaetospira_SH213264.07FU	0.73
OTU2749	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Onygenales	f:Arachnomycetaceae	g:Arachnomyces	s:Arachnomyces_gracilis_SH029684.07FU	0.73
OTU640	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Saccharomycetaceae	g:Saccharomyces	s:Saccharomyces_paradoxus_SH235400.07FU	0.73
OTU177	d:Fungi	p:Mortierellomycota	c:Mortierellomycetes	o:Mortierellales	f:Mortierellaceae	g:Mortierella	s:Mortierella_alpina_SH183635.07FU	0.73
OTU2843	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporales_fam_Incertae_sedis	g:Pseudorobillarda	s:Pseudorobillarda_siamensis_SH181601.07FU	0.74
OTU2899	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae	g:Septoriella	s:Septoriella_hirta_SH182993.07FU	0.74
OTU4531	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	g:Podospora	s:Podospora_dimorpha_SH018742.07FU	0.74
OTU1172	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Botryosphaeriales	f:Botryosphaeriaceae	g:Tiarosporella	s:Tiarosporella_urbis-rosarum_SH174636.07FU	0.74
OTU4325	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Lentitheciaceae	g:Darksidea	s:Darksidea_alpha_SH523871.07FU	0.74
OTU936	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	s:Chaetomium_variosporum_SH013960.07FU	0.74
OTU3688	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Sporormiaceae	g:Preussia	s:Preussia_terricola_SH215538.07FU	0.74
OTU2049	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	s:Chaetomium_grande_SH195335.07FU	0.74
OTU3386	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Cordycipitaceae	g:Lecanicillium	s:Lecanicillium_primulinum_SH204659.07FU	0.74
OTU951	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Penicillium	s:Penicillium_spinulosum_SH207148.07FU	0.74
OTU787	d:Fungi	p:Ascomycota	c:Orbiliomycetes	o:Orbiliales	f:Orbiliaceae	g:Brachyphoris	s:Brachyphoris_oviparasitica_SH182419.07FU	0.74
OTU3426	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Penicillium	s:Penicillium_spinulosum_SH207148.07FU	0.74
OTU298	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Corticiales	f:Corticiaceae	g:Laetisaria	s:Laetisaria_fuciformis_SH002042.07FU	0.75
OTU2295	d:Fungi	p:Basidiomycota	c:Ustilaginomycetes	o:Ustilaginales	f:Ustilaginaceae	g:Ustilago	s:Ustilago_sporoboli-indici_SH175971.07FU	0.75
OTU1158	d:Fungi	p:Mortierellomycota	c:Mortierellomycetes	o:Mortierellales	f:Mortierellaceae	g:Mortierella	s:Mortierella_alpina_SH183633.07FU	0.75
OTU2183	d:Fungi	p:Basidiomycota	c:Ustilaginomycetes	o:Ustilaginales	f:Ustilaginaceae	g:Anthracocystis	s:Anthracocystis_ovaria_SH005416.07FU	0.75
OTU1639	d:Fungi	p:Basidiomycota	c:Microbotryomycetes	o:Leucosporidiales	f:Leucosporidiaceae	g:Leucosporidium	s:Leucosporidium_fasciculatum_SH026753.07FU	0.76
OTU4229	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Psathyrellaceae	g:Coprinopsis	s:Coprinopsis_brunneofibrillosa_SH219024.07FU	0.76
OTU2101	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae	g:Septoriella	s:Septoriella_hirta_SH182993.07FU	0.76
OTU1017	d:Fungi	p:Chytridiomycota	c:Rhizophlyctidomycetes	o:Rhizophlyctidales	f:Rhizophlyctidaceae	g:Rhizophlyctis	s:Rhizophlyctis_rosea_SH202563.07FU	0.76
OTU4432	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Coniochaetales	f:Coniochaetaceae	g:Coniochaeta	s:Coniochaeta_ligniaria_SH020889.07FU	0.76
OTU1060	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Aspergillus	s:Aspergillus_luppii_SH194615.07FU	0.76
OTU579	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae	g:Rhizophagus	s:Rhizophagus_irregularis_SH175586.07FU	0.76
OTU4862	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Lentitheciaceae	g:Keissleriella	s:Keissleriella_quadriseptata_SH522344.07FU	0.76
OTU847	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Herpotrichiellaceae	g:Exophiala	s:Exophiala_bergeri_SH525607.07FU	0.76
OTU2594	d:Fungi	p:Basidiomycota	c:Malasseziomycetes	o:Malasseziales	f:Malasseziaceae	g:Malassezia	s:Malassezia_pachydermatis_SH182248.07FU	0.76
OTU3909	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Boletales	f:Rhizopogonaceae	g:Rhizopogon	s:Rhizopogon_roseolus_SH221083.07FU	0.76
OTU2252	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreales_fam_Incertae_sedis	g:Acremonium	s:Acremonium_curvulum_SH202931.07FU	0.77
OTU2034	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Didymellaceae	g:Phoma	s:Phoma_aloes_SH087322.07FU	0.77
OTU3935	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Microascales	f:Microascaceae	g:Kernia	s:Kernia_pachypleura_SH013616.07FU	0.77
OTU3086	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Verrucariales	f:Verrucariaceae	g:Verrucaria	s:Verrucaria_calciseda_SH525139.07FU	0.77
OTU1624	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Leptosphaeriaceae	g:Plenodomus	s:Plenodomus_collinsoniae_SH192132.07FU	0.77
OTU394	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Xylariales	f:Xylariaceae	g:Arthroxylaria	s:Arthroxylaria_elegans_SH013050.07FU	0.77
OTU4454	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Sporormiaceae	g:Preussia	s:Preussia_terricola_SH215538.07FU	0.77
OTU4118	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreales_fam_Incertae_sedis	g:Acremonium	s:Acremonium_fusidioides_SH203375.07FU	0.77
OTU63	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Geastrales	f:Geastraceae	g:Geastrum	s:Geastrum_minimum_SH213601.07FU	0.77
OTU1710	d:Fungi	p:Basidiomycota	c:Geminibasidiomycetes	o:Geminibasidiales	f:Geminibasidiaceae	g:Geminibasidium	s:Geminibasidium_hirsutum_SH208305.07FU	0.77
OTU2947	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Onygenales	f:Onygenaceae	g:Amauroascus	s:Amauroascus_albicans_SH200616.07FU	0.78
OTU3727	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Myxotrichaceae	g:Oidiodendron	s:Oidiodendron_griseum_SH216992.07FU	0.78
OTU2887	d:Fungi	p:Basidiomycota	c:Ustilaginomycetes	o:Urocystidales	f:Glomosporiaceae	g:Thecaphora	s:Thecaphora_solani_SH003262.07FU	0.78
OTU299	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Dothideales	f:Aureobasidiaceae	g:Aureobasidium	s:Aureobasidium_pullulans_SH195774.07FU	0.78
OTU3495	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Lentitheciaceae	g:Darksidea	s:Darksidea_alpha_SH523871.07FU	0.78
OTU44	d:Fungi	p:Mucoromycota	c:Mucoromycetes	o:Mucorales	f:Rhizopodaceae	g:Rhizopus	s:Rhizopus_microsporus_SH177602.07FU	0.78
OTU4100	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Filobasidiales	f:Filobasidiaceae	g:Filobasidium	s:Filobasidium_stepposum_SH382125.07FU	0.78
OTU4294	d:Fungi	p:Mucoromycota	c:Mucoromycetes	o:Mucorales	f:Rhizopodaceae	g:Rhizopus	s:Rhizopus_microsporus_SH177602.07FU	0.78
OTU4439	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Sporormiaceae	g:Preussia	s:Preussia_terricola_SH215538.07FU	0.78
OTU2757	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Coniochaetales	f:Coniochaetaceae	g:Coniochaeta	s:Coniochaeta_ligniaria_SH020889.07FU	0.79
OTU2380	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Diversisporales	f:Diversisporaceae	g:Corymbiglomus	s:Corymbiglomus_corymbiforme_SH000369.07FU	0.79
OTU3937	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Coniochaetales	f:Coniochaetaceae	g:Coniochaeta	s:Coniochaeta_ligniaria_SH020889.07FU	0.79
OTU941	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Trichomeriaceae	g:Arthrocladium	s:Arthrocladium_caudatum_SH492534.07FU	0.79
OTU1885	d:Fungi	p:Chytridiomycota	c:Rhizophlyctidomycetes	o:Rhizophlyctidales	f:Rhizophlyctidaceae	g:Rhizophlyctis	s:Rhizophlyctis_rosea_SH202562.07FU	0.79
OTU509	d:Fungi	p:Basidiomycota	c:Ustilaginomycetes	o:Ustilaginales	f:Ustilaginaceae	g:Ustilago	s:Ustilago_xerochloae_SH175973.07FU	0.79
OTU1043	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Filobasidiales	f:Filobasidiaceae	g:Filobasidium	s:Filobasidium_stepposum_SH382125.07FU	0.79
OTU85	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Chaetosphaeriales	f:Chaetosphaeriaceae	g:Dinemasporium	s:Dinemasporium_parastrigosum_SH531352.07FU	0.79
OTU1983	d:Fungi	p:Basidiomycota	c:Ustilaginomycetes	o:Ustilaginales	f:Ustilaginaceae	g:Ustilago	s:Ustilago_sporoboli-indici_SH175971.07FU	0.79
OTU3124	d:Fungi	p:Ascomycota	c:Taphrinomycetes	o:Taphrinales	f:Protomycetaceae	g:Protomyces	s:Protomyces_inouyei_SH211874.07FU	0.8
OTU770	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Herpotrichiellaceae	g:Phialophora	s:Phialophora_cyclaminis_SH174592.07FU	0.8
OTU64	d:Fungi	p:Ascomycota	c:Arthoniomycetes	o:Lichenostigmatales	f:Phaeococcomycetaceae	g:Phaeococcomyces	s:Phaeococcomyces_catenatus_SH197114.07FU	0.8
OTU1940	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Onygenales	f:Onygenales_fam_Incertae_sedis	g:Chrysosporium	s:Chrysosporium_carmichaelii_SH187838.07FU	0.8
OTU4712	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Sporormiaceae	g:Preussia	s:Preussia_terricola_SH215538.07FU	0.8
OTU1245	d:Fungi	p:Mortierellomycota	c:Mortierellomycetes	o:Mortierellales	f:Mortierellaceae	g:Mortierella	s:Mortierella_lignicola_SH185199.07FU	0.8
OTU2335	d:Fungi	p:Basidiomycota	c:Pucciniomycetes	o:Pucciniales	f:Melampsoraceae	g:Melampsora	s:Melampsora_epitea_SH196334.07FU	0.8
OTU3046	d:Fungi	p:Basidiomycota	c:Microbotryomycetes	o:Sporidiobolales	f:Sporidiobolaceae	g:Rhodosporidiobolus	s:Rhodosporidiobolus_colostri_SH194503.07FU	0.8
OTU2586	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Didymellaceae	g:Ascochyta	s:Ascochyta_manawaorae_SH005761.07FU	0.81
OTU1660	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Diversisporales	f:Diversisporaceae	g:Corymbiglomus	s:Corymbiglomus_corymbiforme_SH000369.07FU	0.81
OTU4215	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Onygenales	f:Onygenaceae	g:Auxarthronopsis	s:Auxarthronopsis_bandhavgarhensis_SH476964.07FU	0.81
OTU355	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Aspergillus	s:Aspergillus_terreus_SH475291.07FU	0.81
OTU2390	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Verrucariales	f:Verrucariaceae	g:Placidium	s:Placidium_lacinulatum_var._erythrostratum_SH028213.07FU	0.81
OTU4103	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Sporormiaceae	g:Sparticola	s:Sparticola_forlicesenae_SH524508.07FU	0.81
OTU73	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Penicillium	s:Penicillium_aethiopicum_SH407737.07FU	0.81
OTU2495	d:Fungi	p:Basidiomycota	c:Malasseziomycetes	o:Malasseziales	f:Malasseziaceae	g:Malassezia	s:Malassezia_globosa_SH184036.07FU	0.81
OTU3342	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Magnaporthales	f:Magnaporthaceae	g:Budhanggurabania	s:Budhanggurabania_cynodonticola_SH212832.07FU	0.82
OTU1695	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Penicillium	s:Penicillium_brevicompactum_SH267337.07FU	0.82
OTU1567	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Cucurbitariaceae	g:Pyrenochaeta	s:Pyrenochaeta_unguis-hominis_SH629617.07FU	0.82
OTU108	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Sporormiaceae	g:Preussia	s:Preussia_terricola_SH215534.07FU	0.82
OTU4095	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Penicillium	s:Penicillium_arenicola_SH182510.07FU	0.82
OTU2727	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Cordycipitaceae	g:Simplicillium	s:Simplicillium_lanosoniveum_SH196116.07FU	0.82
OTU3847	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Curvularia	s:Curvularia_spicifera_SH093124.07FU	0.82
OTU3908	d:Fungi	p:Basidiomycota	c:Agaricostilbomycetes	o:Agaricostilbales	f:Kondoaceae	g:Kondoa	s:Kondoa_subrosea_SH197514.07FU	0.82
OTU1582	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Entolomataceae	g:Entoloma	s:Entoloma_phaeocarpum_SH032804.07FU	0.82
OTU2468	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Sporormiaceae	g:Preussia	s:Preussia_terricola_SH215538.07FU	0.82
OTU4025	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Entolomataceae	g:Entoloma	s:Entoloma_lanicum_SH185817.07FU	0.82
OTU267	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Strophariaceae	g:Stropharia	s:Stropharia_coronilla_SH177498.07FU	0.83
OTU2426	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Trichosporonales	f:Trichosporonaceae	g:Cutaneotrichosporon	s:Cutaneotrichosporon_curvatus_SH086040.07FU	0.83
OTU4973	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Didymellaceae	g:Phoma	s:Phoma_aloes_SH087322.07FU	0.83
OTU399	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreales_fam_Incertae_sedis	g:Acremonium	s:Acremonium_implicatum_SH210205.07FU	0.83
OTU953	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Saccharomycetales_fam_Incertae_sedis	g:Candida	s:Candida_santamariae_SH190098.07FU	0.83
OTU2386	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Gigasporales	f:Gigasporaceae	g:Cetraspora	s:Cetraspora_gilmorei_SH203803.07FU	0.83
OTU2544	d:Fungi	p:Mucoromycota	c:Mucoromycetes	o:Mucorales	f:Lichtheimiaceae	g:Lichtheimia	s:Lichtheimia_ornata_SH184060.07FU	0.83
OTU4352	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Diversisporales	f:Diversisporaceae	g:Corymbiglomus	s:Corymbiglomus_corymbiforme_SH174645.07FU	0.83
OTU3037	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Melanommataceae	g:Herpotrichia	s:Herpotrichia_juniperi_SH198655.07FU	0.84
OTU3111	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Coniochaetales	f:Coniochaetaceae	g:Coniochaeta	s:Coniochaeta_ligniaria_SH020889.07FU	0.84
OTU3450	d:Fungi	p:Ascomycota	c:Arthoniomycetes	o:Lichenostigmatales	f:Phaeococcomycetaceae	g:Phaeococcomyces	s:Phaeococcomyces_mexicanus_SH025621.07FU	0.84
OTU4299	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Cantharellales	f:Ceratobasidiaceae	g:Thanatephorus	s:Thanatephorus_cucumeris_SH218665.07FU	0.84
OTU3060	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Tulostoma	s:Tulostoma_fimbriatum_SH179763.07FU	0.84
OTU4169	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Microascales	f:Microascaceae	g:Microascus	s:Microascus_intricatus_SH193482.07FU	0.84
OTU574	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Stachybotryaceae	g:Myrothecium	s:Myrothecium_gramineum_SH023653.07FU	0.85
OTU3843	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Clavicipitaceae	g:Claviceps	s:Claviceps_citrina_SH006070.07FU	0.85
OTU1154	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Coniochaetales	f:Coniochaetaceae	g:Coniochaeta	s:Coniochaeta_ligniaria_SH020889.07FU	0.85
OTU2228	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Strophariaceae	g:Leratiomyces	s:Leratiomyces_erythrocephalus_SH529586.07FU	0.85
OTU2376	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Psathyrellaceae	g:Psathyrella	s:Psathyrella_lilliputana_SH494473.07FU	0.85
OTU1997	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Psathyrellaceae	g:Coprinellus	s:Coprinellus_curtus_SH220385.07FU	0.85
OTU1262	d:Fungi	p:Mortierellomycota	c:Mortierellomycetes	o:Mortierellales	f:Mortierellaceae	g:Mortierella	s:Mortierella_alpina_SH183636.07FU	0.85
OTU2645	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Myxotrichaceae	g:Oidiodendron	s:Oidiodendron_chlamydosporicum_SH216990.07FU	0.85
OTU132	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Lepiota	s:Lepiota_farinolens_SH029755.07FU	0.85
OTU4470	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Alternaria	s:Alternaria_eichhorniae_SH215493.07FU	0.85
OTU122	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Psathyrellaceae	g:Coprinopsis	s:Coprinopsis_cinerea_SH487602.07FU	0.85
OTU4912	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Hysterangiales	f:Hysterangiaceae	g:Hysterangium	s:Hysterangium_separabile_SH198321.07FU	0.85
OTU4266	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreales_fam_Incertae_sedis	g:Acremonium	s:Acremonium_implicatum_SH210205.07FU	0.86
OTU1296	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Phallales	f:Phallaceae	g:Itajahya	s:Itajahya_rosea_SH458838.07FU	0.86
OTU2695	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Leptosphaeriaceae	g:Heterospora	s:Heterospora_dimorphospora_SH208016.07FU	0.86
OTU1778	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Boletales	f:Rhizopogonaceae	g:Rhizopogon	s:Rhizopogon_smithii_SH221972.07FU	0.86
OTU1485	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Cystofilobasidiales	f:Mrakiaceae	g:Udeniomyces	s:Udeniomyces_puniceus_SH192067.07FU	0.87
OTU1439	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Didymosphaeriaceae	g:Deniquelata	s:Deniquelata_barringtoniae_SH215925.07FU	0.87
OTU4714	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Diversisporales	f:Diversisporaceae	g:Redeckera	s:Redeckera_megalocarpum_SH182068.07FU	0.87
OTU2152	d:Fungi	p:Ascomycota	c:Orbiliomycetes	o:Orbiliales	f:Orbiliaceae	g:Arthrobotrys	s:Arthrobotrys_entomopaga_SH195591.07FU	0.87
OTU459	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporales_fam_Incertae_sedis	g:Chalastospora	s:Chalastospora_ellipsoidea_SH199530.07FU	0.87
OTU3638	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Lophiostomataceae	g:Sigarispora	s:Sigarispora_arundinis_SH180715.07FU	0.87
OTU2160	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Trichocomaceae	g:Sagenomella	s:Sagenomella_verticillata_SH208848.07FU	0.87
OTU1235	d:Fungi	p:Calcarisporiellomycota	c:Calcarisporiellomycetes	o:Calcarisporiellales	f:Calcarisporiellaceae	g:Calcarisporiella	s:Calcarisporiella_thermophila_SH029325.07FU	0.87
OTU3167	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Cladosporiaceae	g:Cladosporium	s:Cladosporium_halotolerans_SH127902.07FU	0.87
OTU758	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Herpotrichiellaceae	g:Exophiala	s:Exophiala_xenobiotica_SH194487.07FU	0.87
OTU1198	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Curvularia	s:Curvularia_inaequalis_SH187566.07FU	0.87
OTU1640	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Agaricus	s:Agaricus_bisporus_SH174653.07FU	0.87
OTU4011	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae	g:Kamienskia	s:Kamienskia_divaricata_SH641510.07FU	0.87
OTU1362	d:Fungi	p:Basidiomycota	c:Microbotryomycetes	o:Sporidiobolales	f:Sporidiobolaceae	g:Sporobolomyces	s:Sporobolomyces_salicinus_SH205940.07FU	0.88
OTU2210	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae	g:Sclerostagonospora	s:Sclerostagonospora_cycadis_SH207008.07FU	0.88
OTU1631	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporales_fam_Incertae_sedis	g:Polyschema	s:Polyschema_sclerotigenum_SH488720.07FU	0.88
OTU283	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Botryosphaeriales	f:Botryosphaeriaceae	g:Tiarosporella	s:Tiarosporella_graminis_var._karoo_SH174637.07FU	0.88
OTU271	d:Fungi	p:Ascomycota	c:Arthoniomycetes	o:Lichenostigmatales	f:Phaeococcomycetaceae	g:Phaeococcomyces	s:Phaeococcomyces_mexicanus_SH025621.07FU	0.88
OTU1433	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Geastrales	f:Geastraceae	g:Geastrum	s:Geastrum_hungaricum_SH199941.07FU	0.88
OTU2710	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Bulleribasidiaceae	g:Dioszegia	s:Dioszegia_zsoltii_var._yunnanensis_SH182100.07FU	0.88
OTU2	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Lentitheciaceae	g:Darksidea	s:Darksidea_alpha_SH523871.07FU	0.88
OTU496	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	s:Chaetomium_iranianum_SH195329.07FU	0.88
