"","Row.names","OTU","average","av_LATR","av_PLJA","pval","Domain","Phylum","Class","Order","Family","Genus","Species","taxonomy","Taxon","Taxon.Level","Trophic.Mode","Guild","Growth.Morphology","Trait","Confidence.Ranking","Notes","Citation.Source"
"149","OTU2732","OTU2732",6.73997369505601e-05,0,0.2938748895,0.0056,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Corticiales","f:Corticiaceae","g:Crustoderma","s:Crustoderma_opuntiae_SH027249.07FU","d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Corticiales,f:Corticiaceae,g:Crustoderma,s:Crustoderma_opuntiae_SH027249.07FU","Crustoderma","13","Saprotroph","Wood Saprotroph","Corticioid","Brown Rot","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:1256688'"
"150","OTU2739","OTU2739",0.00014418479006275,0,0.55874249625,0.004,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Eurotiales","f:Trichocomaceae","g:Thermomyces","s:Thermomyces_dupontii_SH185868.07FU","d:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Thermomyces,s:Thermomyces_dupontii_SH185868.07FU","Thermomyces","13","Pathotroph-Symbiotroph","Endophyte-Plant Pathogen","NULL","NULL","Possible","Host - Cannabaceae, Moraceae, Oleaceae","b'Costa IPMW, et al. 2012. Mycotaxon 119:26'"
"151","OTU274","OTU274",0.000483403544389985,1.94653011225,0,0.0305,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"152","OTU2745","OTU2745",0.000122930697938395,0,0.53599979625,0.0055,"d:Fungi","p:Ascomycota","c:Dothideomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota,c:Dothideomycetes","-","-","-","-","-","-","-","Unassigned","-"
"153","OTU276","OTU276",0.00117102747897085,5.598807118125,1.4248486175,0.019,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota","-","-","-","-","-","-","-","Unassigned","-"
"154","OTU2763","OTU2763",7.38790817954708e-05,0,0.314131306875,0.0058,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"155","OTU279","OTU279",7.71179825763187e-05,0,0.29884632125,0.0041,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Branch06","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota,c:Sordariomycetes,o:Branch06","-","-","-","-","-","-","-","Unassigned","-"
"156","OTU2802","OTU2802",0.000118605225993053,0,0.56096565175,0.0063,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi","-","-","-","-","-","-","-","Unassigned","-"
"157","OTU2804","OTU2804",0.000128955301239542,0,0.609918273,0.0063,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales","-","-","-","-","-","-","-","Unassigned","-"
"158","OTU2829","OTU2829",0.000220873559327527,0,0.855151367375,0.004,"d:Fungi","p:Glomeromycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","d:Fungi,p:Glomeromycota","-","-","-","-","-","-","-","Unassigned","-"
